,Country 1,Country 2,Domain,Suffix
588854,China,Russia,tripod,com
588855,China,Russia,w3,to
588856,China,Russia,eu,org
588857,China,Russia,dyndns,org
588858,China,Russia,blogspot,com
588859,China,Russia,islam,com
588860,China,Russia,made-in-china,com
588861,China,Russia,news,at
588862,China,Russia,888,com.tw
589071,Pakistan,Russia,youtube,com
589072,Pakistan,Russia,blogspot,com
589073,Pakistan,Russia,wordpress,com
589140,Russia,Saudi Arabia,cannabis,com
589141,Russia,Saudi Arabia,hot,ee
589142,Russia,Saudi Arabia,erowid,com
589143,Russia,United Arab Emirates,rossia,org
589144,Russia,United Arab Emirates,nyaa,se
589145,Russia,United Arab Emirates,youtube,com
589146,Russia,United Arab Emirates,blogspot,de
589147,Russia,United Arab Emirates,eu,org
589148,Russia,United Arab Emirates,tripod,com
589149,Russia,United Arab Emirates,yolasite,com
589150,Russia,United Arab Emirates,livejournal,com
589151,Russia,United Arab Emirates,4chan,org
589152,Russia,United Arab Emirates,cc,cc
589153,Russia,United Arab Emirates,betfair,com
589154,Russia,United Arab Emirates,aimoo,com
589155,Russia,United Arab Emirates,livedoor,jp
589156,Russia,United Arab Emirates,ladbrokes,com
589157,Russia,United Arab Emirates,dailymotion,com
589158,Russia,United Arab Emirates,youku,com
589159,Russia,United Arab Emirates,scribd,com
589160,Russia,United Arab Emirates,hot,ee
589161,Russia,United Arab Emirates,redtube,com
589162,Russia,United Arab Emirates,fc2,com
589163,Russia,United Arab Emirates,imagevenue,com
589164,Russia,United Arab Emirates,v-teens,com
589165,Russia,United Arab Emirates,wordpress,com
589166,Russia,United Arab Emirates,dyndns,org
589167,Russia,United Arab Emirates,forumegypt,net
