,Country 1,Country 2,Domain,Suffix
0,Turkey,"Korea, Republic of",89,com
1,Turkey,"Korea, Republic of",dmm,co.jp
2,Turkey,"Korea, Republic of",e-hentai,org
3,Turkey,"Korea, Republic of",hardsextube,com
4,Turkey,"Korea, Republic of",hdzog,com
5,Turkey,"Korea, Republic of",hotgaylist,com
6,Turkey,"Korea, Republic of",hotmovs,com
7,Turkey,"Korea, Republic of",manhub,com
8,Turkey,"Korea, Republic of",porn555,com
9,Turkey,"Korea, Republic of",rockettube,com
10,Turkey,"Korea, Republic of",thisav,com
11,Turkey,"Korea, Republic of",txxx,com
12,Turkey,"Korea, Republic of",upornia,com
13,Turkey,"Korea, Republic of",voyeurhit,com
14,Turkey,"Korea, Republic of",wetplace,com
15,Turkey,"Korea, Republic of",xhamster,com
16,Turkey,India,wordpress,com
17,Turkey,Russian Federation,wordpress,com
