,country1,country2,pairwise_levenshtein
0,Afghanistan,Albania,48
1,Afghanistan,Algeria,47
2,Afghanistan,Angola,47
3,Afghanistan,Argentina,47
4,Afghanistan,Armenia,50
5,Afghanistan,Australia,47
6,Afghanistan,Austria,47
7,Afghanistan,Azerbaijan,49
8,Afghanistan,Bahamas,47
9,Afghanistan,Bahrain,47
10,Afghanistan,Bangladesh,48
11,Afghanistan,Barbados,46
12,Afghanistan,Belarus,49
13,Afghanistan,Belgium,47
14,Afghanistan,Belize,47
15,Afghanistan,Benin,45
16,Afghanistan,Bermuda,47
17,Afghanistan,Bhutan,47
18,Afghanistan,Bolivia,47
19,Afghanistan,Bosnia and Herzegovina,48
20,Afghanistan,Botswana,46
21,Afghanistan,Brazil,48
22,Afghanistan,Brunei,48
23,Afghanistan,Bulgaria,46
24,Afghanistan,Burkina Faso,47
25,Afghanistan,Burundi,47
26,Afghanistan,Cambodia,48
27,Afghanistan,Cameroon,46
28,Afghanistan,Canada,46
29,Afghanistan,Cape Verde,48
30,Afghanistan,Chile,48
31,Afghanistan,China,50
32,Afghanistan,Colombia,48
33,Afghanistan,Congo,45
34,Afghanistan,Costa Rica,47
35,Afghanistan,Cote d'Ivoire,47
36,Afghanistan,Croatia,47
37,Afghanistan,Cuba,49
38,Afghanistan,Curaçao,46
39,Afghanistan,Cyprus,48
40,Afghanistan,Czech Republic,48
41,Afghanistan,Democratic Republic of Congo,46
42,Afghanistan,Denmark,46
43,Afghanistan,Djibouti,47
44,Afghanistan,Dominican Republic,48
45,Afghanistan,Ecuador,47
46,Afghanistan,Egypt,48
47,Afghanistan,El Salvador,48
48,Afghanistan,Estonia,48
49,Afghanistan,Ethiopia,44
50,Afghanistan,Fiji,47
51,Afghanistan,Finland,47
52,Afghanistan,France,48
53,Afghanistan,French Guiana,47
54,Afghanistan,French Polynesia,46
55,Afghanistan,Gabon,46
56,Afghanistan,Gambia,45
57,Afghanistan,Georgia,49
58,Afghanistan,Germany,47
59,Afghanistan,Ghana,47
60,Afghanistan,Greece,47
61,Afghanistan,Guadeloupe,47
62,Afghanistan,Guam,46
63,Afghanistan,Guatemala,48
