,Name,Date Unblocked,Website,Archived Block Message[0],Archived Block Message[1],Block Message Screenshot,Website Archives[0],Website Archives[1],URL Country
0,5 News KFSM,,https://5newsonline.com,https://archive.fo/Lwl88,,https://data.verifiedjoseph.com/files/gdpr-screenshots/5newsonline-com.png,https://web.archive.org/web/2/https://5newsonline.com,,
1,99acres,,https://www.99acres.com,https://archive.fo/24l2Q,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-99acres-com.png,https://web.archive.org/web/2/https://www.99acres.com/,,
2,Aberdeen News,,https://www.aberdeennews.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-aberdeennews-com.png,,,"US
"
3,Abington Mariner,,http://abington.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/abington-wickedlocal-com.png,https://web.archive.org/web/2/http://abington.wickedlocal.com,,"US
"
4,"Ad Express & Daily Iowegian (Centerville, IA)",,https://www.dailyiowegian.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-dailyiowegian-com.png,,,"US
"
5,AGCanada,,http://agcanada.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/agcanada-com.png,https://web.archive.org/web/2/http://agcanada.com,,"CA
"
6,AgDealer,,https://agdealer.com,https://archive.fo/J3CNt,,https://data.verifiedjoseph.com/files/gdpr-screenshots/agdealer-com.png,,,"CA
"
7,AgriNews,,http://www.agrinews-pubs.com,https://archive.fo/gkzWx,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-agrinews-pubs-com.png,,,
8,AgUpdate,,https://www.agupdate.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-agupdate-com.png,,,
9,Ahwatukee Foothills News,,http://www.ahwatukee.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-ahwatukee-com.png,https://web.archive.org/web/2/http://www.ahwatukee.com/,,"US
"
10,Aiken Standard,2018-08-09,https://www.aikenstandard.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-aikenstandard-com.png,,,"US
"
11,AIM Media Texas,,http://www.aimmediatexas.com,https://archive.fo/ZfcyS,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-aimmediatexas-com.png,https://web.archive.org/web/2/http://www.aimmediatexas.com/,,
12,AirThinx,,http://www.airthinx.io,https://archive.fo/Sk0Ry,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-airthinx-io.png,https://web.archive.org/web/2/http://www.airthinx.io/,,"US
"
13,Albany Democrat-Herald,,https://democratherald.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/democratherald-com.png,https://web.archive.org/web/2/https://democratherald.com/,,
14,Alberta Farmer Express,,http://albertafarmexpress.ca,https://archive.fo/ZYS2g,,https://data.verifiedjoseph.com/files/gdpr-screenshots/albertafarmexpress-ca.png,https://web.archive.org/web/2/https://www.albertafarmexpress.ca/,,"CA
"
15,Aledo Times Record,,http://www.aledotimesrecord.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-aledotimesrecord-com.png,https://web.archive.org/web/2/http://www.aledotimesrecord.com,,"US
"
16,Alice Echo-News Journal,2018-08-21,https://www.alicetx.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-alicetx-com.png,https://web.archive.org/web/2/https://www.alicetx.com,,
17,"Alliance Times-Herald (Alliance, Nebraska)",,http://www.alliancetimes.com,https://archive.fo/0IOYB,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-alliancetimes-com.png,,,
18,"Allied News (Grove City, PA)",,https://www.alliednews.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-alliednews-com.png,,,"US
"
19,Allston-Brighton TAB,,http://allston.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/allston-wickedlocal-com.png,https://web.archive.org/web/2/http://allston.wickedlocal.com,,"US
"
