,Country,URL Country,Number of Domains Blocked
0,China,Andorra,1
1,China,United Arab Emirates,6
2,China,Afghanistan,2
3,China,Angola,1
4,China,Argentina,1
5,China,Austria,2
6,China,Australia,32
7,China,Aruba,1
8,China,Belgium,11
9,China,Bulgaria,1
10,China,Bermuda,2
11,China,Brazil,6
12,China,Bahamas,25
13,China,Belarus,1
14,China,Canada,270
15,China,Switzerland,11
16,China,China,943
17,China,Colombia,4
18,China,Cyprus,1
19,China,Czechia,11
20,China,Germany,42
21,China,Denmark,3
22,China,Egypt,2
23,China,Spain,10
24,China,Finland,2
25,China,France,60
26,China,Gabon,1
27,China,United Kingdom,93
28,China,Gibraltar,1
29,China,Greece,1
30,China,Hong Kong,84
31,China,Honduras,1
32,China,Croatia,1
33,China,Hungary,2
34,China,Indonesia,9
35,China,Ireland,3
36,China,Israel,6
37,China,India,46
38,China,"Iran, Islamic Republic of",1
39,China,Italy,6
40,China,Jordan,3
41,China,Japan,123
42,China,Kenya,2
43,China,Cambodia,2
44,China,Saint Kitts and Nevis,14
45,China,"Korea, Republic of",41
46,China,Cayman Islands,83
47,China,Luxembourg,6
48,China,Latvia,1
49,China,"Moldova, Republic of",40
50,China,Macao,4
51,China,Malta,7
52,China,Mexico,3
53,China,Malaysia,778
54,China,Netherlands,15
55,China,Norway,7
56,China,New Zealand,8
57,China,Panama,145
58,China,Philippines,2
59,China,Pakistan,4
60,China,"Palestine, State of",2
61,China,Paraguay,1
62,China,Qatar,1
63,China,Russian Federation,12
64,China,Saudi Arabia,2
65,China,Seychelles,2
66,China,Sweden,7
67,China,Singapore,5
68,China,Slovenia,2
69,China,Slovakia,1
70,China,Thailand,11
71,China,Turkey,3
72,China,"Taiwan, Province of China",21
73,China,Ukraine,3
74,China,United States,3485
75,China,Uruguay,1
76,China,"Virgin Islands, British",3
77,China,Viet Nam,222
78,China,South Africa,4
79,China,Zimbabwe,1
0,GDPR,Canada,19
1,GDPR,China,2
2,GDPR,United Kingdom,1
3,GDPR,Guam,1
4,GDPR,India,1
5,GDPR,Cayman Islands,1
6,GDPR,Panama,5
7,GDPR,Pakistan,1
8,GDPR,Puerto Rico,1
9,GDPR,United States,477
10,GDPR,"Virgin Islands, U.S.",1
0,India,Bahamas,3
1,India,Canada,3
2,India,France,1
3,India,Panama,1
0,Iraq,China,1
1,Iraq,Spain,1
2,Iraq,France,1
3,Iraq,Greece,1
