,URL,URL Country
0,http://www.facebook.com/pages/Everybody-Draw-Mohammed-Day/121369914543425?ref=mf,US
1,http://www.facebook.com/pages/Everybody-Draw-Mohammed-day-May-20/112498195453416?ref=search&sid=100001050496784.3964918704..1,US
2,http://www.drawmuhammadday.com,JP
3,https://www.facebook.com,US
4,http://www.youtube.com/watch?v=z7ok4njJXI8,
5,http://www.youtube.com/watch?v=3sD-1-1sbik,
6,http://www.youtube.com/watch?v=_TcNWY0E-PA,
7,http://www.youtube.com/watch?v=WRxijt8dqEA,
8,http://www.youtube.com/watch?v=MGuSK2hVukA,
9,http://www.youtube.com/watch?v=0BP_xW29kCU,
10,http://www.youtube.com/watch?v=OMz0aIM2_sM,
11,http://www.youtube.com/watch?v=pDrti5T93T8,
12,http://www.youtube.com/watch?v=KlYLKf4q2rg,
13,http://www.youtube.com/watch?v=a4yfG5dAZdU,
14,http://www.newsrealblog.com/2010/04/24/twog-link-of-the-day-is-everybody-draw-mohammed-day-a-bad-idea/,US
15,http://ming.tv/flemming2.php/__show_article/_a000010-001623.htm,
16,http://www.meetup.com/BrisbaneAtheists/messages/boards/thread/9078207/post/35583098/?hash=35583098#35583098,
17,http://en.wikipedia.org/wiki/Freedom_of_speech_versus_blasphemy,US
18,http://reason.com/blog/2010/04/23/first-annual-everybody-draw-mo,
19,http://en.wikipedia.org/wiki/Lars_Vilks_Muhammad_drawings_controversy,US
20,http://atlasshrugs2000.typepad.com/atlas_shrugs/2006/02/muhammad_cartoo.html,
21,http://fjordman.blogspot.com/2005/10/image-of-muhammad.html,
22,http://guyism.com/2010/04/creator-of-everybody-draw-muhammad-day-wont-draw-muhammad.html,US
23,http://creepingsharia.wordpress.com/2010/04/26/cartoonist-behind-everybody-draw-mohammed-day-poster-getting-nervous/,
24,http://www.skepticmoney.com/students-at-university-of-madison-wisconson-draw-muhammad/,CA
25,http://dailyradar.com/beltwayblips/story/first-annual-everybody-draw-mohammad-day/,GB
26,http://www.mynorthwest.com/?nid=11&sid=313170,US
27,http://muhammad-911.tk/881832-Draw-Muhammad-5-20-2010.html,
28,http://muhammad-911.tk/,
29,http://www.supportfreedomofspeech.com/hyphenated-american-dont-miss-everybody-draw-muhammad-day/,
30,http://motherjones.com/mojo/2010/04/south-park-censorship-comedy-central-muhammad-mohammed-cartoon-trey-stone-matt-parker,
31,http://itunes.apple.com/us/album/draw-muhammad/id303064274,US
32,http://www.youtube.com,
33,http://slog.thestranger.com/slog/archives/2010/04/22/everybody-draw-mohammed-day,FR
34,http://artsyhands.com/2010/05/access-facebook-blocked-pakistan/,US
35,https://barenakedislam.wordpress.com/2010/05/02/muslim-hackers-get-their-filthy-finger-licken-hands-on-kfc-website/,
36,http://llphfreedom.blogspot.com/2010/04/everybody-draw-muhammad-day-may-20th.html,
37,http://seasonsoftumultanddiscord.wordpress.com/2010/05/18/two-days-to-draw-muhammad-day/,
38,http://en.wikipedia.org/wiki/File:Jyllands-Posten-pg3-article-in-Sept-30-2005-edition-of-KulturWeekend-entitled-Muhammeds-ansigt.png,US
39,http://www.di2.nu/files/Muhammed_Cartoons_Jyllands_Posten.html,
40,http://en.wikipedia.org/wiki/The_Truth_About_Muhammad,US
41,http://1001how2.com/how-to-draw-muhammad-idiots-guide/,
42,http://www.bypassthat.com,US
43,http://en.wikipedia.org/wiki/Muhammad,US
44,http://face-of-muhammed.blogspot.com/,
45,http://www.cagle.com/news/muhammad/,
46,http://en.wikipedia.org/wiki/Everybody_Draw_Mohammed_Day,US
47,http://en.wikipedia.org/wiki/Draw_Muhammad,US
48,www.vpullel.com,
49,www.gingerproxy.com,US
50,www.blockedsiteaccess.com,
51,www.ctunnel.com,
52,www.kproxy.com,
53,www.fireproxy.com,US
54,www.nntimes.com,US
55,www.6proxy.com,us
56,www.sslunblock.com,US
57,www.pumashoes.com,US
58,www.chronobypass.com,
59,www.cacah.org,
60,www.proxyserver.it,
61,www.susycaravan.com,
62,www.proxy4free.com ,PA
63,www.surf24h.com,
64,www.en.wikipedia.org/wiki/muhammad,US
65,www.lemonbits.net,
66,Vtunnel.com,PA
67,Vtunnel.biz,US
68,Vtunnel.info,
69,Vtunnel.us,ro
70,Vtunnel.tv,
71,V-tunnel.org  ,
72,Atunnel.com,LV
73,Btunnel.com,TR
74,Ctunnel.com,
75,Dtunnel.com,
76,Ftunnel.com,US
77,Gtunnel.com,US
78,G-tunnel.com  ,CN
79,H-tunnel.com  ,
80,I-tunnel.net  ,
81,Jtunnel.com,US
82,J-tunnel.com  ,
83,Ktunnel.com,US
84,K-tunnel.com  ,
85,Ltunnel.com,US
86,L-tunnel.com  ,
87,M-tunnel.com  ,
88,Ntunnel.com,US
89,N-tunnel.com  ,
90,Otunnel.com,US
91,O-tunnel.com  ,
92,Ptunnel.com,US
93,P-tunnel.com  ,US
94,Q-tunnel.com  ,PL
95,Rtunnel.com,US
96,R-tunnel.com  ,
97,T-tunnel.net  ,
98,Wtunnel.com,
99,Ztunnel.com,
100,Ftunnel.net,
101,Htunnel.net,
102,Jtunnel.net,
