,URL
0,lj.rossia.org/users/oranta/157031.html
1,jblover.co/jailbait-videos-stickam-captures-jailba
2,www.justjailbait.us/vladmodels/vladmodels-zhenya-s
3,www.justjailbait.us/showstars/showstars-oxi-set-5/
4,goldenmed.net/
5,www.justjailbait.us/page/28/
6,rapidzona.com/books-journal-foto-torrent/books-tor
7,blackrc.biz/index.php?/topic/496-omsk-smeshnoe-kur
8,blackrc.biz/index.php?/topic/278-irkutskluchshij-s
9,dzen-au7.com/
10,blackrc.biz/index.php?/topic/496-omsk-smeshnoe-kur
11,chem-lega.biz/kuritelnyj-miks-katalog/
12,seansmaga.com/kupit/909-spays-tyumen.html
13,seansmaga.com/365-spice-naberejnyie-chelnyi.html
14,narkomafia.org/90-kupit-jwh-tomsk.html
15,lemonvit.com/317-jwh-saransk.html
16,dzen-au7.com/w/499-kupit-kuritelnyie-smesi-tyumen.
17,winn-palace.com
18,www.Jackpot-klub.org
19,www.goldfishka2.com
20,dzen-au7.com/w/542-kupit-spays-belgorod.html
21,narkomafia.org/43-spays-izhevsk.html
22,www.eldoradoclub.com
23,www.gmslotsonline.com
24,casinokorona.com
25,www.twist-casino.com
26,www.slotx.net
27,dzen-au7.com/w/665-kuritelnyie-miksyi-ijevsk.html
28,lemonvit.com/500-kupit-spice-nijniy-tagil.html
29,lemonvit.com/304-jwh-nijniy-tagil.html
30,seansmaga.com/659-kuritelnyie-smesi-saransk.html
31,narkomafia.org/legalnark.html
32,lemonvit.com/823-kupit-kuritelnyie-smesi-kemerovo.
33,chem-lega.biz/prajs/
34,blackrc.biz/
35,blackrc.biz/index.php?/topic/565-alcali-crystals-o
36,blackrc.biz/index.php?/topic/339-novosibirskaia-ob
37,blackrc.biz/index.php?/topic/251-letopis-ot-solomo
38,blackrc.biz/index.php?/topic/521-reporty-ot-rasta7
39,lemonvit.com/1289-sol-dlya-vann-voronej.html
40,narkomafia.org/legal-miks.html
41,narkomafia.org/icq-679520557.html
42,lemonvit.com/460-kupit-jwh-habarovsk.html
43,lemonvit.com/1013-legalnyie-poroshki-ulyanovsk.htm
44,lemonvit.com/516-kupit-spays-penza.html
45,narkomafia.org/973-kupit-spays-v-penze.html
46,narkomafia.org/index.php?do=feedback
47,narkomafia.org/index.php?do=register
48,seansmaga.com/kupit/661-kupit-spice-penza.html
49,narkomafia.org/1093-miksyi-kuritelnyie-v-ufe.html
50,narkomafia.org/35-kuritelnye-miksy-ekaterinburg.ht
51,chem-lega.biz/
52,chem-lega.biz/zakladki-v-gorodax/
53,chem-lega.biz/kontakty/
54,chem-lega.biz/poroshki/
55,gryzoperovoz.com/index.php?newsid=31
56,www.casino360.ru
57,ipvnews.org/
58,kavkazcenter.com
59,kavkazcenter.info
60,kavkazcenter.net
61,kavkaz.org.uk
62,kavkaznews.com
63,kavkaz.tv
64,www.kavkazcenter.com
65,legalrc.biz
66,legalrc.biz/threads/irkutsk-rovnyj-dym-ljutyj-maga
67,legalrc.biz/threads/kak-prigotovit-gashish-svoimi-
68,wayaway.biz/threads/irkutsk-skorost-rossyp-optimal
69,pornopepper.com/videos/245/molodye-malchiki-gei-za
70,www.telkniga.com
71,mirror9.graniru.info/ 
72,mirror8.graniru.info/
73,www.orvin.kiev.ua/cgi-bin/gb/gb.cgi?n=2354
74,bashtan.ru/index.php?pid=11&cat_id=1645&ad
75,bashtan.ru/index.php?pid=11&cat_id=1146&ad
76,bashtan.ru/index.php?pid=11&cat_id=1628&ad
77,leg-rc.biz/
78,wayaway.biz/threads/prays-list-na-nashi-tovary.181
79,wayaway.biz/forums/tags/dostavka-po-rf/
80,wayaway.biz/threads/-ufa-foto-k-kladam-marki-skoro
81,wayaway.biz/threads/rc-lab-way-luchshiy-optovyy-ma
82,wayaway.biz/forums/tags/zakladki-v-ekaterinburge/
83,wayaway.biz/posts/
84,wayaway.biz/threads/krasnodar-moskva-spb-myagkiy-i
85,wayaway.biz/threads/omsknovosibirskkrasnoyarsk-eyf
86,wayaway.biz/threads/marki-psycho-house-proby-proda
87,wayaway.biz/threads/psihodelicheskie-marki-kazantr
88,wayaway.biz/threads/legal-smok-com.25583/
89,wayaway.biz/threads/stolica-tolko-vygodnye-predloz
90,wayaway.biz/threads/psihodelicheskie-marki-kazantr
91,wayaway.biz/threads/mn-25-ftor-deshevo-probniki-ga
92,wayaway.biz/threads/-ekaterinburg-super-miks-ot-ma
93,wayaway.biz/threads/prays-list-na-produkciyu.18558
94,wayaway.biz/threads/dyrmania-com-nadezhnyy-magazin
95,wayaway.biz/threads/kannabinoid-5f-akb48-v-nalichi
96,bashtan.ru/index.php?pid=11&cat_id=2049&ad
97,bashtan.ru/index.php?pid=11&cat_id=336&ad_
98,bashtan.ru/index.php?pid=11&cat_id=1645&ad
99,bashtan.ru/index.php?pid=11&cat_id=336&ad_
100,nelegala.biz/
101,bitvaekstrasensov.ru/watch/CuWKTarvqpE/rsrjorsr-rj
102,nelegala.biz/delivery.html
103,nelegala.biz/index.html
104,nelegala.biz/reviews.html
105,nelegala.biz/catalog.html
106,ryletka.ru/
