,Available,City,Website,Country
0,Y,Toronto,https://5newsonline.com,Canada
1,Y,Toronto,https://www.99acres.com,Canada
2,Y,Toronto,https://www.aberdeennews.com,Canada
3,Y,Toronto,http://abington.wickedlocal.com,Canada
4,Y,Toronto,https://www.dailyiowegian.com,Canada
5,Y,Toronto,http://agcanada.com,Canada
6,Y,Toronto,https://agdealer.com,Canada
7,Y,Toronto,http://www.agrinews-pubs.com,Canada
8,Y,Toronto,https://www.agupdate.com,Canada
9,Y,Toronto,http://www.ahwatukee.com,Canada
10,Y,Toronto,https://www.aikenstandard.com,Canada
11,Y,Toronto,http://www.aimmediatexas.com,Canada
12,N,Toronto,http://www.airthinx.io,Canada
13,N,Toronto,https://democratherald.com,Canada
14,N,Toronto,http://albertafarmexpress.ca,Canada
15,Y,Toronto,https://www.alicetx.com,Canada
16,Y,Toronto,http://www.alliancetimes.com,Canada
17,Y,Toronto,https://www.alliednews.com,Canada
18,Y,Toronto,http://allston.wickedlocal.com,Canada
19,Y,Toronto,https://www.amny.com,Canada
20,Y,Toronto,https://www.amarillo.com,Canada
21,Y,Toronto,https://www.americanmediainc.com,Canada
22,Y,Toronto,http://americanmilitarynews.com,Canada
23,Y,Toronto,https://www.americanpress.com,Canada
24,Y,Toronto,http://www.amestrib.com,Canada
25,Y,Toronto,https://www.adn.com,Canada
26,Y,Toronto,https://www.anchoragepress.com,Canada
27,Y,Toronto,https://www.andovertownsman.com,Canada
28,Y,Toronto,http://www.apg-wi.com,Canada
29,Y,Toronto,https://www.apgwest.com,Canada
30,Y,Toronto,https://www.appeal-democrat.com,Canada
31,Y,Toronto,https://www.northfulton.com,Canada
32,Y,Toronto,https://www.argus-press.com,Canada
33,Y,Toronto,https://tucson.com,Canada
34,Y,Toronto,https://azdailysun.com,Canada
35,Y,London,https://5newsonline.com,England
36,Y,London,https://www.99acres.com,England
37,N,London,https://www.aberdeennews.com,England
38,N,London,http://abington.wickedlocal.com,England
39,N,London,https://www.dailyiowegian.com,England
40,N,London,http://agcanada.com,England
41,N,London,https://agdealer.com,England
42,Y,London,http://www.agrinews-pubs.com,England
43,Y,London,https://www.agupdate.com,England
44,Y,London,http://www.ahwatukee.com,England
45,Y,London,https://www.aikenstandard.com,England
46,Y,London,http://www.aimmediatexas.com,England
47,N,London,http://www.airthinx.io,England
48,N,London,https://democratherald.com,England
49,N,London,http://albertafarmexpress.ca,England
50,Y,London,http://www.aledotimesrecord.com,England
51,N,London,https://www.alicetx.com,England
52,N,London,http://www.alliancetimes.com,England
53,N,London,https://www.alliednews.com,England
54,N,London,http://allston.wickedlocal.com,England
55,N,London,https://www.amny.com,England
56,N,London,https://www.amarillo.com,England
57,N,London,https://www.americanmediainc.com,England
58,N,London,http://americanmilitarynews.com,England
59,N,London,https://www.americanpress.com,England
60,N,London,http://www.amestrib.com,England
61,Y,London,https://www.adn.com,England
62,N,London,https://www.anchoragepress.com,England
63,N,London,https://www.andovertownsman.com,England
64,N,London,http://www.apg-wi.com,England
65,N,London,https://www.apgwest.com,England
