,Country 1,Country 2,Domain,Suffix
17682,Austria,Latvia,5newsonline,com
17683,Austria,Latvia,99acres,com
17684,Austria,Latvia,aberdeennews,com
17685,Austria,Latvia,wickedlocal,com
17686,Austria,Latvia,dailyiowegian,com
17687,Austria,Latvia,agcanada,com
17688,Austria,Latvia,agdealer,com
17689,Austria,Latvia,agrinews-pubs,com
17690,Austria,Latvia,agupdate,com
17691,Austria,Latvia,ahwatukee,com
17692,Austria,Latvia,aikenstandard,com
17693,Austria,Latvia,aimmediatexas,com
17694,Austria,Latvia,airthinx,io
17695,Austria,Latvia,democratherald,com
17696,Austria,Latvia,albertafarmexpress,ca
17697,Austria,Latvia,aledotimesrecord,com
17698,Austria,Latvia,alicetx,com
17699,Austria,Latvia,alliancetimes,com
17700,Austria,Latvia,alliednews,com
17701,Austria,Latvia,amny,com
17702,Austria,Latvia,amarillo,com
17703,Austria,Latvia,americanmediainc,com
17704,Austria,Latvia,americanmilitarynews,com
17705,Austria,Latvia,americanpress,com
17706,Austria,Latvia,amestrib,com
17707,Austria,Latvia,adn,com
17708,Austria,Latvia,anchoragepress,com
17709,Austria,Latvia,andovertownsman,com
17710,Austria,Latvia,apg-wi,com
17711,Austria,Latvia,apgwest,com
17712,Austria,Latvia,appeal-democrat,com
17713,Austria,Latvia,northfulton,com
17714,Austria,Latvia,argus-press,com
17715,Austria,Latvia,tucson,com
17716,Austria,Latvia,azdailysun,com
17717,Austria,Latvia,willcoxrangenews,com
17718,Austria,Latvia,ashepostandtimes,com
17719,Austria,Latvia,ashleycountyledger,com
17720,Austria,Latvia,aspendailynews,com
17721,Austria,Latvia,atchisonglobenow,com
17722,Austria,Latvia,onlineathens,com
17723,Austria,Latvia,athensreview,com
17724,Austria,Latvia,atlanticcityweekly,com
17725,Austria,Latvia,auburnjournal,com
17726,Austria,Latvia,augustagazette,com
17727,Austria,Latvia,auroraadvertiser,net
17728,Austria,Latvia,autoweb,com
17729,Austria,Latvia,averyjournal,com
17730,Austria,Latvia,bakersfield,com
17731,Austria,Latvia,citypaper,com
