,Country 1,Country 2,Domain,Suffix
25260,Austria,Portugal,5newsonline,com
25261,Austria,Portugal,99acres,com
25262,Austria,Portugal,aberdeennews,com
25263,Austria,Portugal,wickedlocal,com
25264,Austria,Portugal,dailyiowegian,com
25265,Austria,Portugal,agcanada,com
25266,Austria,Portugal,agdealer,com
25267,Austria,Portugal,agrinews-pubs,com
25268,Austria,Portugal,agupdate,com
25269,Austria,Portugal,ahwatukee,com
25270,Austria,Portugal,aikenstandard,com
25271,Austria,Portugal,aimmediatexas,com
25272,Austria,Portugal,airthinx,io
25273,Austria,Portugal,democratherald,com
25274,Austria,Portugal,albertafarmexpress,ca
25275,Austria,Portugal,aledotimesrecord,com
25276,Austria,Portugal,alicetx,com
25277,Austria,Portugal,alliancetimes,com
25278,Austria,Portugal,alliednews,com
25279,Austria,Portugal,amny,com
25280,Austria,Portugal,amarillo,com
25281,Austria,Portugal,americanmediainc,com
25282,Austria,Portugal,americanmilitarynews,com
25283,Austria,Portugal,americanpress,com
25284,Austria,Portugal,amestrib,com
25285,Austria,Portugal,adn,com
25286,Austria,Portugal,anchoragepress,com
25287,Austria,Portugal,andovertownsman,com
25288,Austria,Portugal,apg-wi,com
25289,Austria,Portugal,apgwest,com
25290,Austria,Portugal,appeal-democrat,com
25291,Austria,Portugal,northfulton,com
25292,Austria,Portugal,argus-press,com
25293,Austria,Portugal,tucson,com
25294,Austria,Portugal,azdailysun,com
25295,Austria,Portugal,willcoxrangenews,com
25296,Austria,Portugal,ashepostandtimes,com
25297,Austria,Portugal,ashleycountyledger,com
25298,Austria,Portugal,aspendailynews,com
25299,Austria,Portugal,atchisonglobenow,com
25300,Austria,Portugal,onlineathens,com
25301,Austria,Portugal,athensreview,com
25302,Austria,Portugal,atlanticcityweekly,com
25303,Austria,Portugal,auburnjournal,com
25304,Austria,Portugal,augustagazette,com
25305,Austria,Portugal,auroraadvertiser,net
25306,Austria,Portugal,autoweb,com
25307,Austria,Portugal,averyjournal,com
25308,Austria,Portugal,bakersfield,com
25309,Austria,Portugal,citypaper,com
25310,Austria,Portugal,baltimoresun,com
25311,Austria,Portugal,bangordailynews,com
25312,Austria,Portugal,barnesville-enterprise,com
25313,Austria,Portugal,examiner-enterprise,com
25314,Austria,Portugal,baseballhq,com
25315,Austria,Portugal,bastropenterprise,com
25316,Austria,Portugal,batesvilleheraldtribune,com
25317,Austria,Portugal,baycitytribune,com
25318,Austria,Portugal,bctv,org
25319,Austria,Portugal,beatricedailysun,com
25320,Austria,Portugal,beauregarddailynews,net
25321,Austria,Portugal,timesonline,com
25322,Austria,Portugal,belgrade-news,com
25323,Austria,Portugal,bcdemocratonline,com
25324,Austria,Portugal,bgfalconmedia,com
25325,Austria,Portugal,bigbeargrizzly,net
25326,Austria,Portugal,billoreilly,com
25327,Austria,Portugal,billingsgazette,com
25328,Austria,Portugal,goblackfin,com
25329,Austria,Portugal,bhpioneer,com
25330,Austria,Portugal,bloominbrands,com
25331,Austria,Portugal,bloxcms,com
25332,Austria,Portugal,bdtonline,com
25333,Austria,Portugal,blufftontoday,com
25334,Austria,Portugal,boarsheadresort,com
25335,Austria,Portugal,bolivarmonews,com
25336,Austria,Portugal,bonefishgrill,com
25337,Austria,Portugal,newsrepublican,com
