,Country 1,Country 2,Domain,Suffix
26523,Austria,Romania,5newsonline,com
26524,Austria,Romania,99acres,com
26525,Austria,Romania,aberdeennews,com
26526,Austria,Romania,wickedlocal,com
26527,Austria,Romania,dailyiowegian,com
26528,Austria,Romania,agcanada,com
26529,Austria,Romania,agdealer,com
26530,Austria,Romania,agrinews-pubs,com
26531,Austria,Romania,agupdate,com
26532,Austria,Romania,ahwatukee,com
26533,Austria,Romania,aikenstandard,com
26534,Austria,Romania,aimmediatexas,com
26535,Austria,Romania,airthinx,io
26536,Austria,Romania,democratherald,com
26537,Austria,Romania,albertafarmexpress,ca
26538,Austria,Romania,aledotimesrecord,com
26539,Austria,Romania,alicetx,com
26540,Austria,Romania,alliancetimes,com
26541,Austria,Romania,alliednews,com
26542,Austria,Romania,amny,com
26543,Austria,Romania,amarillo,com
26544,Austria,Romania,americanmediainc,com
26545,Austria,Romania,americanmilitarynews,com
26546,Austria,Romania,americanpress,com
26547,Austria,Romania,amestrib,com
26548,Austria,Romania,adn,com
26549,Austria,Romania,anchoragepress,com
26550,Austria,Romania,andovertownsman,com
26551,Austria,Romania,apg-wi,com
26552,Austria,Romania,apgwest,com
26553,Austria,Romania,appeal-democrat,com
26554,Austria,Romania,northfulton,com
26555,Austria,Romania,argus-press,com
26556,Austria,Romania,tucson,com
26557,Austria,Romania,azdailysun,com
26558,Austria,Romania,willcoxrangenews,com
26559,Austria,Romania,ashepostandtimes,com
26560,Austria,Romania,ashleycountyledger,com
26561,Austria,Romania,aspendailynews,com
26562,Austria,Romania,atchisonglobenow,com
26563,Austria,Romania,onlineathens,com
26564,Austria,Romania,athensreview,com
26565,Austria,Romania,atlanticcityweekly,com
26566,Austria,Romania,auburnjournal,com
26567,Austria,Romania,augustagazette,com
26568,Austria,Romania,auroraadvertiser,net
26569,Austria,Romania,autoweb,com
26570,Austria,Romania,averyjournal,com
26571,Austria,Romania,bakersfield,com
26572,Austria,Romania,citypaper,com
26573,Austria,Romania,baltimoresun,com
26574,Austria,Romania,bangordailynews,com
26575,Austria,Romania,barnesville-enterprise,com
26576,Austria,Romania,examiner-enterprise,com
26577,Austria,Romania,baseballhq,com
