,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
38,Austria,China,47,1361,15911,0.034533431300514325,0.00295393124253661
70,Austria,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
71,Austria,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
72,Austria,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
73,Austria,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
74,Austria,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
75,Austria,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
76,Austria,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
77,Austria,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
78,Austria,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
79,Austria,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
80,Austria,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
81,Austria,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
82,Austria,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
83,Austria,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
84,Austria,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
85,Austria,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
86,Austria,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
87,Austria,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
88,Austria,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
89,Austria,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
90,Austria,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
91,Austria,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
92,Austria,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
93,Austria,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
94,Austria,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
95,Austria,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
96,Austria,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
97,Austria,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
98,Austria,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
99,Austria,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1061,Austria,India,0,1361,20,0.0,0.0
1092,Austria,Iraq,0,1361,21,0.0,0.0
1123,Austria,Pakistan,0,1361,598,0.0,0.0
1154,Austria,Russia,0,1361,5184,0.0,0.0
1185,Austria,Saudi Arabia,0,1361,1380,0.0,0.0
1216,Austria,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
