,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
39,Belgium,China,47,1361,15911,0.034533431300514325,0.00295393124253661
100,Belgium,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
102,Belgium,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
103,Belgium,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
104,Belgium,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
105,Belgium,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
106,Belgium,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
107,Belgium,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
108,Belgium,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
109,Belgium,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
110,Belgium,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
111,Belgium,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
112,Belgium,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
113,Belgium,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
114,Belgium,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
115,Belgium,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
116,Belgium,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
117,Belgium,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
118,Belgium,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
119,Belgium,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
120,Belgium,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
121,Belgium,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
122,Belgium,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
123,Belgium,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
124,Belgium,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
125,Belgium,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
126,Belgium,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
127,Belgium,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
128,Belgium,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
129,Belgium,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
130,Belgium,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1062,Belgium,India,0,1361,20,0.0,0.0
1093,Belgium,Iraq,0,1361,21,0.0,0.0
1124,Belgium,Pakistan,0,1361,598,0.0,0.0
1155,Belgium,Russia,0,1361,5184,0.0,0.0
1186,Belgium,Saudi Arabia,0,1361,1380,0.0,0.0
1217,Belgium,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
