,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
42,Cyprus,China,47,1361,15911,0.034533431300514325,0.00295393124253661
193,Cyprus,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
194,Cyprus,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
195,Cyprus,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
196,Cyprus,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
198,Cyprus,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
199,Cyprus,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
200,Cyprus,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
201,Cyprus,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
202,Cyprus,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
203,Cyprus,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
204,Cyprus,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
205,Cyprus,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
206,Cyprus,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
207,Cyprus,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
208,Cyprus,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
209,Cyprus,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
210,Cyprus,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
211,Cyprus,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
212,Cyprus,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
213,Cyprus,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
214,Cyprus,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
215,Cyprus,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
216,Cyprus,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
217,Cyprus,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
218,Cyprus,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
219,Cyprus,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
220,Cyprus,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
221,Cyprus,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
222,Cyprus,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
223,Cyprus,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1065,Cyprus,India,0,1361,20,0.0,0.0
1096,Cyprus,Iraq,0,1361,21,0.0,0.0
1127,Cyprus,Pakistan,0,1361,598,0.0,0.0
1158,Cyprus,Russia,0,1361,5184,0.0,0.0
1189,Cyprus,Saudi Arabia,0,1361,1380,0.0,0.0
1220,Cyprus,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
