,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
43,Czech Republic,China,47,1361,15911,0.034533431300514325,0.00295393124253661
224,Czech Republic,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
225,Czech Republic,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
226,Czech Republic,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
227,Czech Republic,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
228,Czech Republic,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
230,Czech Republic,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
231,Czech Republic,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
232,Czech Republic,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
233,Czech Republic,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
234,Czech Republic,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
235,Czech Republic,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
236,Czech Republic,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
237,Czech Republic,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
238,Czech Republic,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
239,Czech Republic,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
240,Czech Republic,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
241,Czech Republic,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
242,Czech Republic,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
243,Czech Republic,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
244,Czech Republic,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
245,Czech Republic,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
246,Czech Republic,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
247,Czech Republic,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
248,Czech Republic,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
249,Czech Republic,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
250,Czech Republic,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
251,Czech Republic,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
252,Czech Republic,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
253,Czech Republic,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
254,Czech Republic,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1066,Czech Republic,India,0,1361,20,0.0,0.0
1097,Czech Republic,Iraq,0,1361,21,0.0,0.0
1128,Czech Republic,Pakistan,0,1361,598,0.0,0.0
1159,Czech Republic,Russia,0,1361,5184,0.0,0.0
1190,Czech Republic,Saudi Arabia,0,1361,1380,0.0,0.0
1221,Czech Republic,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
