,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
45,Estonia,China,47,1361,15911,0.034533431300514325,0.00295393124253661
286,Estonia,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
287,Estonia,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
288,Estonia,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
289,Estonia,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
290,Estonia,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
291,Estonia,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
292,Estonia,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
294,Estonia,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
295,Estonia,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
296,Estonia,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
297,Estonia,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
298,Estonia,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
299,Estonia,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
300,Estonia,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
301,Estonia,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
302,Estonia,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
303,Estonia,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
304,Estonia,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
305,Estonia,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
306,Estonia,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
307,Estonia,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
308,Estonia,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
309,Estonia,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
310,Estonia,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
311,Estonia,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
312,Estonia,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
313,Estonia,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
314,Estonia,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
315,Estonia,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
316,Estonia,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1068,Estonia,India,0,1361,20,0.0,0.0
1099,Estonia,Iraq,0,1361,21,0.0,0.0
1130,Estonia,Pakistan,0,1361,598,0.0,0.0
1161,Estonia,Russia,0,1361,5184,0.0,0.0
1192,Estonia,Saudi Arabia,0,1361,1380,0.0,0.0
1223,Estonia,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
