,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
46,Finland,China,47,1361,15911,0.034533431300514325,0.00295393124253661
317,Finland,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
318,Finland,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
319,Finland,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
320,Finland,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
321,Finland,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
322,Finland,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
323,Finland,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
324,Finland,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
326,Finland,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
327,Finland,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
328,Finland,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
329,Finland,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
330,Finland,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
331,Finland,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
332,Finland,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
333,Finland,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
334,Finland,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
335,Finland,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
336,Finland,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
337,Finland,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
338,Finland,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
339,Finland,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
340,Finland,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
341,Finland,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
342,Finland,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
343,Finland,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
344,Finland,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
345,Finland,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
346,Finland,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
347,Finland,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1069,Finland,India,0,1361,20,0.0,0.0
1100,Finland,Iraq,0,1361,21,0.0,0.0
1131,Finland,Pakistan,0,1361,598,0.0,0.0
1162,Finland,Russia,0,1361,5184,0.0,0.0
1193,Finland,Saudi Arabia,0,1361,1380,0.0,0.0
1224,Finland,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
