,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
50,Hungary,China,47,1361,15911,0.034533431300514325,0.00295393124253661
441,Hungary,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
442,Hungary,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
443,Hungary,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
444,Hungary,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
445,Hungary,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
446,Hungary,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
447,Hungary,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
448,Hungary,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
449,Hungary,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
450,Hungary,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
451,Hungary,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
452,Hungary,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
454,Hungary,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
455,Hungary,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
456,Hungary,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
457,Hungary,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
458,Hungary,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
459,Hungary,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
460,Hungary,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
461,Hungary,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
462,Hungary,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
463,Hungary,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
464,Hungary,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
465,Hungary,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
466,Hungary,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
467,Hungary,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
468,Hungary,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
469,Hungary,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
470,Hungary,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
471,Hungary,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1073,Hungary,India,0,1361,20,0.0,0.0
1104,Hungary,Iraq,0,1361,21,0.0,0.0
1135,Hungary,Pakistan,0,1361,598,0.0,0.0
1166,Hungary,Russia,0,1361,5184,0.0,0.0
1197,Hungary,Saudi Arabia,0,1361,1380,0.0,0.0
1228,Hungary,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
