,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
66,Iceland,China,47,1361,15911,0.034533431300514325,0.00295393124253661
937,Iceland,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
938,Iceland,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
939,Iceland,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
940,Iceland,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
941,Iceland,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
942,Iceland,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
943,Iceland,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
944,Iceland,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
945,Iceland,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
946,Iceland,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
947,Iceland,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
948,Iceland,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
949,Iceland,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
950,Iceland,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
951,Iceland,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
952,Iceland,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
953,Iceland,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
954,Iceland,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
955,Iceland,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
956,Iceland,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
957,Iceland,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
958,Iceland,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
959,Iceland,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
960,Iceland,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
961,Iceland,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
962,Iceland,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
963,Iceland,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
964,Iceland,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
966,Iceland,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
967,Iceland,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1089,Iceland,India,0,1361,20,0.0,0.0
1120,Iceland,Iraq,0,1361,21,0.0,0.0
1151,Iceland,Pakistan,0,1361,598,0.0,0.0
1182,Iceland,Russia,0,1361,5184,0.0,0.0
1213,Iceland,Saudi Arabia,0,1361,1380,0.0,0.0
1244,Iceland,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
