,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
51,Ireland,China,47,1361,15911,0.034533431300514325,0.00295393124253661
472,Ireland,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
473,Ireland,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
474,Ireland,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
475,Ireland,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
476,Ireland,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
477,Ireland,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
478,Ireland,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
479,Ireland,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
480,Ireland,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
481,Ireland,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
482,Ireland,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
483,Ireland,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
484,Ireland,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
486,Ireland,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
487,Ireland,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
488,Ireland,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
489,Ireland,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
490,Ireland,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
491,Ireland,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
492,Ireland,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
493,Ireland,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
494,Ireland,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
495,Ireland,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
496,Ireland,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
497,Ireland,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
498,Ireland,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
499,Ireland,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
500,Ireland,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
501,Ireland,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
502,Ireland,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1074,Ireland,India,0,1361,20,0.0,0.0
1105,Ireland,Iraq,0,1361,21,0.0,0.0
1136,Ireland,Pakistan,0,1361,598,0.0,0.0
1167,Ireland,Russia,0,1361,5184,0.0,0.0
1198,Ireland,Saudi Arabia,0,1361,1380,0.0,0.0
1229,Ireland,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
