,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
53,Latvia,China,47,1361,15911,0.034533431300514325,0.00295393124253661
534,Latvia,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
535,Latvia,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
536,Latvia,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
537,Latvia,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
538,Latvia,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
539,Latvia,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
540,Latvia,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
541,Latvia,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
542,Latvia,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
543,Latvia,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
544,Latvia,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
545,Latvia,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
546,Latvia,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
547,Latvia,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
548,Latvia,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
550,Latvia,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
551,Latvia,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
552,Latvia,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
553,Latvia,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
554,Latvia,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
555,Latvia,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
556,Latvia,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
557,Latvia,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
558,Latvia,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
559,Latvia,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
560,Latvia,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
561,Latvia,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
562,Latvia,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
563,Latvia,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
564,Latvia,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1076,Latvia,India,0,1361,20,0.0,0.0
1107,Latvia,Iraq,0,1361,21,0.0,0.0
1138,Latvia,Pakistan,0,1361,598,0.0,0.0
1169,Latvia,Russia,0,1361,5184,0.0,0.0
1200,Latvia,Saudi Arabia,0,1361,1380,0.0,0.0
1231,Latvia,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
