,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
67,Lichtenstein,China,47,1361,15911,0.034533431300514325,0.00295393124253661
968,Lichtenstein,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
969,Lichtenstein,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
970,Lichtenstein,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
971,Lichtenstein,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
972,Lichtenstein,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
973,Lichtenstein,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
974,Lichtenstein,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
975,Lichtenstein,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
976,Lichtenstein,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
977,Lichtenstein,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
978,Lichtenstein,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
979,Lichtenstein,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
980,Lichtenstein,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
981,Lichtenstein,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
982,Lichtenstein,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
983,Lichtenstein,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
984,Lichtenstein,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
985,Lichtenstein,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
986,Lichtenstein,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
987,Lichtenstein,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
988,Lichtenstein,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
989,Lichtenstein,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
990,Lichtenstein,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
991,Lichtenstein,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
992,Lichtenstein,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
993,Lichtenstein,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
994,Lichtenstein,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
995,Lichtenstein,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
996,Lichtenstein,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
998,Lichtenstein,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1090,Lichtenstein,India,0,1361,20,0.0,0.0
1121,Lichtenstein,Iraq,0,1361,21,0.0,0.0
1152,Lichtenstein,Pakistan,0,1361,598,0.0,0.0
1183,Lichtenstein,Russia,0,1361,5184,0.0,0.0
1214,Lichtenstein,Saudi Arabia,0,1361,1380,0.0,0.0
1245,Lichtenstein,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
