,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
55,Luxembourg,China,47,1361,15911,0.034533431300514325,0.00295393124253661
596,Luxembourg,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
597,Luxembourg,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
598,Luxembourg,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
599,Luxembourg,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
600,Luxembourg,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
601,Luxembourg,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
602,Luxembourg,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
603,Luxembourg,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
604,Luxembourg,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
605,Luxembourg,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
606,Luxembourg,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
607,Luxembourg,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
608,Luxembourg,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
609,Luxembourg,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
610,Luxembourg,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
611,Luxembourg,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
612,Luxembourg,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
614,Luxembourg,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
615,Luxembourg,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
616,Luxembourg,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
617,Luxembourg,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
618,Luxembourg,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
619,Luxembourg,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
620,Luxembourg,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
621,Luxembourg,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
622,Luxembourg,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
623,Luxembourg,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
624,Luxembourg,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
625,Luxembourg,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
626,Luxembourg,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1078,Luxembourg,India,0,1361,20,0.0,0.0
1109,Luxembourg,Iraq,0,1361,21,0.0,0.0
1140,Luxembourg,Pakistan,0,1361,598,0.0,0.0
1171,Luxembourg,Russia,0,1361,5184,0.0,0.0
1202,Luxembourg,Saudi Arabia,0,1361,1380,0.0,0.0
1233,Luxembourg,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
