,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
59,Portugal,China,47,1361,15911,0.034533431300514325,0.00295393124253661
720,Portugal,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
721,Portugal,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
722,Portugal,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
723,Portugal,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
724,Portugal,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
725,Portugal,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
726,Portugal,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
727,Portugal,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
728,Portugal,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
729,Portugal,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
730,Portugal,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
731,Portugal,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
732,Portugal,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
733,Portugal,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
734,Portugal,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
735,Portugal,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
736,Portugal,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
737,Portugal,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
738,Portugal,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
739,Portugal,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
740,Portugal,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
742,Portugal,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
743,Portugal,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
744,Portugal,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
745,Portugal,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
746,Portugal,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
747,Portugal,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
748,Portugal,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
749,Portugal,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
750,Portugal,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1082,Portugal,India,0,1361,20,0.0,0.0
1113,Portugal,Iraq,0,1361,21,0.0,0.0
1144,Portugal,Pakistan,0,1361,598,0.0,0.0
1175,Portugal,Russia,0,1361,5184,0.0,0.0
1206,Portugal,Saudi Arabia,0,1361,1380,0.0,0.0
1237,Portugal,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
