,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
60,Romania,China,47,1361,15911,0.034533431300514325,0.00295393124253661
751,Romania,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
752,Romania,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
753,Romania,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
754,Romania,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
755,Romania,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
756,Romania,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
757,Romania,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
758,Romania,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
759,Romania,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
760,Romania,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
761,Romania,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
762,Romania,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
763,Romania,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
764,Romania,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
765,Romania,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
766,Romania,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
767,Romania,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
768,Romania,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
769,Romania,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
770,Romania,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
771,Romania,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
772,Romania,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
774,Romania,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
775,Romania,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
776,Romania,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
777,Romania,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
778,Romania,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
779,Romania,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
780,Romania,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
781,Romania,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1083,Romania,India,0,1361,20,0.0,0.0
1114,Romania,Iraq,0,1361,21,0.0,0.0
1145,Romania,Pakistan,0,1361,598,0.0,0.0
1176,Romania,Russia,0,1361,5184,0.0,0.0
1207,Romania,Saudi Arabia,0,1361,1380,0.0,0.0
1238,Romania,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
