,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
63,Spain,China,47,1361,15911,0.034533431300514325,0.00295393124253661
844,Spain,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
845,Spain,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
846,Spain,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
847,Spain,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
848,Spain,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
849,Spain,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
850,Spain,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
851,Spain,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
852,Spain,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
853,Spain,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
854,Spain,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
855,Spain,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
856,Spain,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
857,Spain,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
858,Spain,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
859,Spain,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
860,Spain,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
861,Spain,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
862,Spain,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
863,Spain,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
864,Spain,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
865,Spain,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
866,Spain,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
867,Spain,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
868,Spain,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
870,Spain,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
871,Spain,United Kingdom,1263,1361,1361,0.9279941219691403,0.9279941219691403
872,Spain,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
873,Spain,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
874,Spain,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1086,Spain,India,0,1361,20,0.0,0.0
1117,Spain,Iraq,0,1361,21,0.0,0.0
1148,Spain,Pakistan,0,1361,598,0.0,0.0
1179,Spain,Russia,0,1361,5184,0.0,0.0
1210,Spain,Saudi Arabia,0,1361,1380,0.0,0.0
1241,Spain,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
