,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
1437,United Arab Emirates,China,117,24537,15911,0.004768309084240127,0.007353403305889007
1438,United Arab Emirates,Austria,3,24537,1361,0.00012226433549333658,0.002204261572373255
1439,United Arab Emirates,Belgium,3,24537,1361,0.00012226433549333658,0.002204261572373255
1440,United Arab Emirates,Bulgaria,3,24537,1361,0.00012226433549333658,0.002204261572373255
1441,United Arab Emirates,Croatia,3,24537,1361,0.00012226433549333658,0.002204261572373255
1442,United Arab Emirates,Cyprus,3,24537,1361,0.00012226433549333658,0.002204261572373255
1443,United Arab Emirates,Czech Republic,3,24537,1361,0.00012226433549333658,0.002204261572373255
1444,United Arab Emirates,Denmark,3,24537,1361,0.00012226433549333658,0.002204261572373255
1445,United Arab Emirates,Estonia,3,24537,1361,0.00012226433549333658,0.002204261572373255
1446,United Arab Emirates,Finland,3,24537,1361,0.00012226433549333658,0.002204261572373255
1447,United Arab Emirates,France,3,24537,1361,0.00012226433549333658,0.002204261572373255
1448,United Arab Emirates,Germany,3,24537,1361,0.00012226433549333658,0.002204261572373255
1449,United Arab Emirates,Greece,3,24537,1361,0.00012226433549333658,0.002204261572373255
1450,United Arab Emirates,Hungary,3,24537,1361,0.00012226433549333658,0.002204261572373255
1451,United Arab Emirates,Ireland,3,24537,1361,0.00012226433549333658,0.002204261572373255
1452,United Arab Emirates,Italy,3,24537,1361,0.00012226433549333658,0.002204261572373255
1453,United Arab Emirates,Latvia,3,24537,1361,0.00012226433549333658,0.002204261572373255
1454,United Arab Emirates,Lithuania,3,24537,1361,0.00012226433549333658,0.002204261572373255
1455,United Arab Emirates,Luxembourg,3,24537,1361,0.00012226433549333658,0.002204261572373255
1456,United Arab Emirates,Malta,3,24537,1361,0.00012226433549333658,0.002204261572373255
1457,United Arab Emirates,Netherlands,3,24537,1361,0.00012226433549333658,0.002204261572373255
1458,United Arab Emirates,Poland,3,24537,1361,0.00012226433549333658,0.002204261572373255
1459,United Arab Emirates,Portugal,3,24537,1361,0.00012226433549333658,0.002204261572373255
1460,United Arab Emirates,Romania,3,24537,1361,0.00012226433549333658,0.002204261572373255
1461,United Arab Emirates,Slovakia,3,24537,1361,0.00012226433549333658,0.002204261572373255
1462,United Arab Emirates,Slovenia,3,24537,1361,0.00012226433549333658,0.002204261572373255
1463,United Arab Emirates,Spain,3,24537,1361,0.00012226433549333658,0.002204261572373255
1464,United Arab Emirates,Sweden,3,24537,1361,0.00012226433549333658,0.002204261572373255
1465,United Arab Emirates,United Kingdom,3,24537,1361,0.00012226433549333658,0.002204261572373255
1466,United Arab Emirates,Iceland,3,24537,1361,0.00012226433549333658,0.002204261572373255
1467,United Arab Emirates,Lichtenstein,3,24537,1361,0.00012226433549333658,0.002204261572373255
1468,United Arab Emirates,Norway,3,24537,1361,0.00012226433549333658,0.002204261572373255
1469,United Arab Emirates,India,9,24537,20,0.0003667930064800098,0.45
1470,United Arab Emirates,Iraq,2,24537,21,8.150955699555773e-05,0.09523809523809523
1471,United Arab Emirates,Pakistan,63,24537,598,0.0025675510453600685,0.10535117056856187
1472,United Arab Emirates,Russia,25,24537,5184,0.0010188694624444715,0.004822530864197531
1473,United Arab Emirates,Saudi Arabia,41,24537,1380,0.0016709459184089334,0.029710144927536233
