,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains,1->2,2->1
65,United Kingdom,China,47,1361,15911,0.034533431300514325,0.00295393124253661
906,United Kingdom,Austria,1263,1361,1361,0.9279941219691403,0.9279941219691403
907,United Kingdom,Belgium,1263,1361,1361,0.9279941219691403,0.9279941219691403
908,United Kingdom,Bulgaria,1263,1361,1361,0.9279941219691403,0.9279941219691403
909,United Kingdom,Croatia,1263,1361,1361,0.9279941219691403,0.9279941219691403
910,United Kingdom,Cyprus,1263,1361,1361,0.9279941219691403,0.9279941219691403
911,United Kingdom,Czech Republic,1263,1361,1361,0.9279941219691403,0.9279941219691403
912,United Kingdom,Denmark,1263,1361,1361,0.9279941219691403,0.9279941219691403
913,United Kingdom,Estonia,1263,1361,1361,0.9279941219691403,0.9279941219691403
914,United Kingdom,Finland,1263,1361,1361,0.9279941219691403,0.9279941219691403
915,United Kingdom,France,1263,1361,1361,0.9279941219691403,0.9279941219691403
916,United Kingdom,Germany,1263,1361,1361,0.9279941219691403,0.9279941219691403
917,United Kingdom,Greece,1263,1361,1361,0.9279941219691403,0.9279941219691403
918,United Kingdom,Hungary,1263,1361,1361,0.9279941219691403,0.9279941219691403
919,United Kingdom,Ireland,1263,1361,1361,0.9279941219691403,0.9279941219691403
920,United Kingdom,Italy,1263,1361,1361,0.9279941219691403,0.9279941219691403
921,United Kingdom,Latvia,1263,1361,1361,0.9279941219691403,0.9279941219691403
922,United Kingdom,Lithuania,1263,1361,1361,0.9279941219691403,0.9279941219691403
923,United Kingdom,Luxembourg,1263,1361,1361,0.9279941219691403,0.9279941219691403
924,United Kingdom,Malta,1263,1361,1361,0.9279941219691403,0.9279941219691403
925,United Kingdom,Netherlands,1263,1361,1361,0.9279941219691403,0.9279941219691403
926,United Kingdom,Poland,1263,1361,1361,0.9279941219691403,0.9279941219691403
927,United Kingdom,Portugal,1263,1361,1361,0.9279941219691403,0.9279941219691403
928,United Kingdom,Romania,1263,1361,1361,0.9279941219691403,0.9279941219691403
929,United Kingdom,Slovakia,1263,1361,1361,0.9279941219691403,0.9279941219691403
930,United Kingdom,Slovenia,1263,1361,1361,0.9279941219691403,0.9279941219691403
931,United Kingdom,Spain,1263,1361,1361,0.9279941219691403,0.9279941219691403
932,United Kingdom,Sweden,1263,1361,1361,0.9279941219691403,0.9279941219691403
934,United Kingdom,Iceland,1263,1361,1361,0.9279941219691403,0.9279941219691403
935,United Kingdom,Lichtenstein,1263,1361,1361,0.9279941219691403,0.9279941219691403
936,United Kingdom,Norway,1263,1361,1361,0.9279941219691403,0.9279941219691403
1088,United Kingdom,India,0,1361,20,0.0,0.0
1119,United Kingdom,Iraq,0,1361,21,0.0,0.0
1150,United Kingdom,Pakistan,0,1361,598,0.0,0.0
1181,United Kingdom,Russia,0,1361,5184,0.0,0.0
1212,United Kingdom,Saudi Arabia,0,1361,1380,0.0,0.0
1243,United Kingdom,United Arab Emirates,3,1361,24537,0.002204261572373255,0.00012226433549333658
