,URL
0,http://www.iraqinews.com/tag/fallujah/
1,http://www.herakiq.com/
2,http://www.almadar.co.il/newss.aspx?cid=69&
3,http://www.nakhelnews.com/
4,http://altaghier.tv/
5,http://www.ahraraliraq.com/
6,http://www.raneem.net/
7,http://www.muslm.org/
8,http://www.alzawra.com/
9,http://revofallujah.org/
10,http://albaghdadia.com/
11,http://www.albaghdadianews.com/
12,http://haqana.com/
13,http://www.alarabiya.net/
14,http://aljazeera.net/
15,http://www.alrafidain.tv/
16,http://iraqislami.own0.com/
17,http://www.muftialiraq.info/
18,http://www.dhiqar.net/
19,http://www.alomah-alwasat.com/
20,http://www.harithaldhari.com/
