,Country 1,Country 2,Domain,Suffix
0,"Korea, Republic of",Turkey,89,com
1,"Korea, Republic of",Turkey,dmm,co.jp
2,"Korea, Republic of",Turkey,e-hentai,org
3,"Korea, Republic of",Turkey,hardsextube,com
4,"Korea, Republic of",Turkey,hdzog,com
5,"Korea, Republic of",Turkey,hotgaylist,com
6,"Korea, Republic of",Turkey,hotmovs,com
7,"Korea, Republic of",Turkey,manhub,com
8,"Korea, Republic of",Turkey,porn555,com
9,"Korea, Republic of",Turkey,rockettube,com
10,"Korea, Republic of",Turkey,thisav,com
11,"Korea, Republic of",Turkey,txxx,com
12,"Korea, Republic of",Turkey,upornia,com
13,"Korea, Republic of",Turkey,voyeurhit,com
14,"Korea, Republic of",Turkey,wetplace,com
15,"Korea, Republic of",Turkey,xhamster,com
16,"Korea, Republic of",Japan,milfhunter,com
