,Country 1,Country 2,Domain,Suffix
0,Australia,United States of America,17ok,com
1,Australia,United States of America,jalb,de
2,Australia,United States of America,bittornado,com
3,Australia,United States of America,schwarzreport,org
4,Australia,United States of America,1905,com
5,Australia,United States of America,anonymouse,org
6,Australia,United States of America,hrcr,org
7,Australia,United States of America,globalvoicesonline,org
8,Australia,South Korea,17ok,com
9,Australia,South Korea,jalb,de
10,Australia,South Korea,bittornado,com
11,Australia,South Korea,schwarzreport,org
12,Australia,South Korea,1905,com
13,Australia,South Korea,anonymouse,org
14,Australia,South Korea,hrcr,org
15,Australia,South Korea,globalvoicesonline,org
16,Australia,Spain,17ok,com
17,Australia,Spain,jalb,de
18,Australia,Spain,bittornado,com
19,Australia,Spain,schwarzreport,org
20,Australia,Spain,1905,com
21,Australia,Spain,anonymouse,org
22,Australia,Spain,hrcr,org
23,Australia,Spain,globalvoicesonline,org
24,Australia,South Africa,17ok,com
25,Australia,South Africa,jalb,de
26,Australia,South Africa,bittornado,com
27,Australia,South Africa,schwarzreport,org
28,Australia,South Africa,1905,com
29,Australia,South Africa,anonymouse,org
30,Australia,South Africa,hrcr,org
31,Australia,South Africa,globalvoicesonline,org
32,Australia,Czech Republic,17ok,com
33,Australia,Czech Republic,jalb,de
34,Australia,Czech Republic,bittornado,com
35,Australia,Czech Republic,1905,com
36,Australia,Czech Republic,anonymouse,org
37,Australia,Czech Republic,hrcr,org
38,Australia,Czech Republic,globalvoicesonline,org
39,Australia,Poland,17ok,com
40,Australia,Poland,jalb,de
41,Australia,Poland,bittornado,com
42,Australia,Poland,1905,com
43,Australia,Poland,anonymouse,org
44,Australia,Poland,hrcr,org
45,Australia,Poland,globalvoicesonline,org
46,Australia,Malaysia,17ok,com
47,Australia,Malaysia,jalb,de
48,Australia,Malaysia,bittornado,com
49,Australia,Malaysia,schwarzreport,org
50,Australia,Malaysia,1905,com
51,Australia,Malaysia,anonymouse,org
52,Australia,Malaysia,hrcr,org
53,Australia,Malaysia,globalvoicesonline,org
54,Australia,Russia,17ok,com
55,Australia,Russia,jalb,de
56,Australia,Russia,bittornado,com
57,Australia,Russia,schwarzreport,org
58,Australia,Russia,1905,com
59,Australia,Russia,anonymouse,org
60,Australia,Russia,hrcr,org
61,Australia,Russia,globalvoicesonline,org
62,Australia,China,17ok,com
63,Australia,China,jalb,de
64,Australia,China,bittornado,com
65,Australia,China,schwarzreport,org
66,Australia,China,1905,com
67,Australia,China,anonymouse,org
68,Australia,China,hrcr,org
69,Australia,China,globalvoicesonline,org
70,Australia,Taiwan,17ok,com
71,Australia,Taiwan,jalb,de
72,Australia,Taiwan,bittornado,com
73,Australia,Taiwan,schwarzreport,org
74,Australia,Taiwan,1905,com
75,Australia,Taiwan,anonymouse,org
76,Australia,Taiwan,hrcr,org
77,Australia,Taiwan,globalvoicesonline,org
78,Australia,Bulgaria,17ok,com
79,Australia,Bulgaria,jalb,de
80,Australia,Bulgaria,bittornado,com
81,Australia,Bulgaria,schwarzreport,org
82,Australia,Bulgaria,1905,com
83,Australia,Bulgaria,anonymouse,org
84,Australia,Bulgaria,hrcr,org
85,Australia,Bulgaria,globalvoicesonline,org
86,Australia,Hong Kong,17ok,com
87,Australia,Hong Kong,jalb,de
88,Australia,Hong Kong,bittornado,com
89,Australia,Hong Kong,schwarzreport,org
90,Australia,Hong Kong,1905,com
91,Australia,Hong Kong,anonymouse,org
92,Australia,Hong Kong,hrcr,org
93,Australia,Hong Kong,globalvoicesonline,org
94,Australia,Peru,17ok,com
95,Australia,Peru,jalb,de
96,Australia,Peru,bittornado,com
97,Australia,Peru,schwarzreport,org
98,Australia,Peru,1905,com
99,Australia,Peru,anonymouse,org
100,Australia,Peru,hrcr,org
101,Australia,Peru,globalvoicesonline,org
102,Australia,Hungary,17ok,com
103,Australia,Hungary,jalb,de
104,Australia,Hungary,bittornado,com
105,Australia,Hungary,schwarzreport,org
106,Australia,Hungary,1905,com
107,Australia,Hungary,anonymouse,org
108,Australia,Hungary,hrcr,org
109,Australia,Hungary,globalvoicesonline,org
110,Australia,Norway,17ok,com
111,Australia,Norway,jalb,de
112,Australia,Norway,bittornado,com
113,Australia,Norway,schwarzreport,org
114,Australia,Norway,1905,com
115,Australia,Norway,anonymouse,org
116,Australia,Norway,hrcr,org
117,Australia,Norway,globalvoicesonline,org
118,Australia,Mexico,17ok,com
119,Australia,Mexico,jalb,de
120,Australia,Mexico,bittornado,com
121,Australia,Mexico,schwarzreport,org
122,Australia,Mexico,1905,com
123,Australia,Mexico,anonymouse,org
124,Australia,Mexico,hrcr,org
125,Australia,Mexico,globalvoicesonline,org
