,Country 1,Country 2,Domain,Suffix
0,Brazil,United States of America,17ok,com
1,Brazil,United States of America,jalb,de
2,Brazil,United States of America,bittornado,com
3,Brazil,United States of America,schwarzreport,org
4,Brazil,United States of America,1905,com
5,Brazil,United States of America,anonymouse,org
6,Brazil,United States of America,hrcr,org
7,Brazil,United States of America,globalvoicesonline,org
8,Brazil,South Korea,17ok,com
9,Brazil,South Korea,jalb,de
10,Brazil,South Korea,bittornado,com
11,Brazil,South Korea,schwarzreport,org
12,Brazil,South Korea,1905,com
13,Brazil,South Korea,anonymouse,org
14,Brazil,South Korea,hrcr,org
15,Brazil,South Korea,globalvoicesonline,org
16,Brazil,Spain,17ok,com
17,Brazil,Spain,jalb,de
18,Brazil,Spain,bittornado,com
19,Brazil,Spain,schwarzreport,org
20,Brazil,Spain,1905,com
21,Brazil,Spain,anonymouse,org
22,Brazil,Spain,hrcr,org
23,Brazil,Spain,globalvoicesonline,org
24,Brazil,South Africa,17ok,com
25,Brazil,South Africa,jalb,de
26,Brazil,South Africa,bittornado,com
27,Brazil,South Africa,schwarzreport,org
28,Brazil,South Africa,1905,com
29,Brazil,South Africa,anonymouse,org
30,Brazil,South Africa,hrcr,org
31,Brazil,South Africa,globalvoicesonline,org
32,Brazil,Czech Republic,17ok,com
33,Brazil,Czech Republic,jalb,de
34,Brazil,Czech Republic,bittornado,com
35,Brazil,Czech Republic,1905,com
36,Brazil,Czech Republic,anonymouse,org
37,Brazil,Czech Republic,hrcr,org
38,Brazil,Czech Republic,globalvoicesonline,org
39,Brazil,Poland,17ok,com
40,Brazil,Poland,jalb,de
41,Brazil,Poland,bittornado,com
42,Brazil,Poland,1905,com
43,Brazil,Poland,anonymouse,org
44,Brazil,Poland,hrcr,org
45,Brazil,Poland,globalvoicesonline,org
46,Brazil,Malaysia,17ok,com
47,Brazil,Malaysia,jalb,de
48,Brazil,Malaysia,bittornado,com
49,Brazil,Malaysia,schwarzreport,org
50,Brazil,Malaysia,1905,com
51,Brazil,Malaysia,anonymouse,org
52,Brazil,Malaysia,hrcr,org
53,Brazil,Malaysia,globalvoicesonline,org
54,Brazil,Russia,17ok,com
55,Brazil,Russia,jalb,de
56,Brazil,Russia,bittornado,com
57,Brazil,Russia,schwarzreport,org
58,Brazil,Russia,1905,com
59,Brazil,Russia,anonymouse,org
60,Brazil,Russia,hrcr,org
61,Brazil,Russia,globalvoicesonline,org
62,Brazil,China,17ok,com
63,Brazil,China,jalb,de
64,Brazil,China,bittornado,com
65,Brazil,China,schwarzreport,org
66,Brazil,China,1905,com
67,Brazil,China,anonymouse,org
68,Brazil,China,hrcr,org
69,Brazil,China,globalvoicesonline,org
70,Brazil,Taiwan,17ok,com
71,Brazil,Taiwan,jalb,de
72,Brazil,Taiwan,bittornado,com
73,Brazil,Taiwan,schwarzreport,org
74,Brazil,Taiwan,1905,com
75,Brazil,Taiwan,anonymouse,org
76,Brazil,Taiwan,hrcr,org
77,Brazil,Taiwan,globalvoicesonline,org
78,Brazil,Bulgaria,17ok,com
79,Brazil,Bulgaria,jalb,de
80,Brazil,Bulgaria,bittornado,com
81,Brazil,Bulgaria,schwarzreport,org
82,Brazil,Bulgaria,1905,com
83,Brazil,Bulgaria,anonymouse,org
84,Brazil,Bulgaria,hrcr,org
85,Brazil,Bulgaria,globalvoicesonline,org
86,Brazil,Hong Kong,17ok,com
87,Brazil,Hong Kong,jalb,de
88,Brazil,Hong Kong,bittornado,com
89,Brazil,Hong Kong,schwarzreport,org
90,Brazil,Hong Kong,1905,com
91,Brazil,Hong Kong,anonymouse,org
92,Brazil,Hong Kong,hrcr,org
93,Brazil,Hong Kong,globalvoicesonline,org
94,Brazil,Peru,17ok,com
95,Brazil,Peru,jalb,de
96,Brazil,Peru,bittornado,com
97,Brazil,Peru,schwarzreport,org
98,Brazil,Peru,1905,com
99,Brazil,Peru,anonymouse,org
100,Brazil,Peru,hrcr,org
101,Brazil,Peru,globalvoicesonline,org
102,Brazil,Hungary,17ok,com
103,Brazil,Hungary,jalb,de
104,Brazil,Hungary,bittornado,com
105,Brazil,Hungary,schwarzreport,org
106,Brazil,Hungary,1905,com
107,Brazil,Hungary,anonymouse,org
108,Brazil,Hungary,hrcr,org
109,Brazil,Hungary,globalvoicesonline,org
110,Brazil,Norway,17ok,com
111,Brazil,Norway,jalb,de
112,Brazil,Norway,bittornado,com
113,Brazil,Norway,schwarzreport,org
114,Brazil,Norway,1905,com
115,Brazil,Norway,anonymouse,org
116,Brazil,Norway,hrcr,org
117,Brazil,Norway,globalvoicesonline,org
118,Brazil,Mexico,17ok,com
119,Brazil,Mexico,jalb,de
120,Brazil,Mexico,bittornado,com
121,Brazil,Mexico,schwarzreport,org
