,Country 1,Country 2,Domain,Suffix
0,Colombia,United States of America,jalb,de
1,Colombia,United States of America,schwarzreport,org
2,Colombia,United States of America,globalvoicesonline,org
3,Colombia,United States of America,17ok,com
4,Colombia,United States of America,bittornado,com
5,Colombia,United States of America,1905,com
6,Colombia,United States of America,anonymouse,org
7,Colombia,United States of America,hrcr,org
8,Colombia,South Korea,jalb,de
9,Colombia,South Korea,schwarzreport,org
10,Colombia,South Korea,globalvoicesonline,org
11,Colombia,South Korea,17ok,com
12,Colombia,South Korea,bittornado,com
13,Colombia,South Korea,1905,com
14,Colombia,South Korea,anonymouse,org
15,Colombia,South Korea,hrcr,org
16,Colombia,Spain,jalb,de
17,Colombia,Spain,schwarzreport,org
18,Colombia,Spain,globalvoicesonline,org
19,Colombia,Spain,17ok,com
20,Colombia,Spain,bittornado,com
21,Colombia,Spain,1905,com
22,Colombia,Spain,anonymouse,org
23,Colombia,Spain,hrcr,org
24,Colombia,South Africa,jalb,de
25,Colombia,South Africa,schwarzreport,org
26,Colombia,South Africa,globalvoicesonline,org
27,Colombia,South Africa,17ok,com
28,Colombia,South Africa,bittornado,com
29,Colombia,South Africa,1905,com
30,Colombia,South Africa,anonymouse,org
31,Colombia,South Africa,hrcr,org
32,Colombia,Czech Republic,jalb,de
33,Colombia,Czech Republic,globalvoicesonline,org
34,Colombia,Czech Republic,17ok,com
35,Colombia,Czech Republic,bittornado,com
36,Colombia,Czech Republic,1905,com
37,Colombia,Czech Republic,anonymouse,org
38,Colombia,Czech Republic,hrcr,org
39,Colombia,Poland,jalb,de
40,Colombia,Poland,globalvoicesonline,org
41,Colombia,Poland,17ok,com
42,Colombia,Poland,bittornado,com
43,Colombia,Poland,1905,com
44,Colombia,Poland,anonymouse,org
45,Colombia,Poland,hrcr,org
46,Colombia,Malaysia,jalb,de
47,Colombia,Malaysia,schwarzreport,org
48,Colombia,Malaysia,globalvoicesonline,org
49,Colombia,Malaysia,17ok,com
50,Colombia,Malaysia,bittornado,com
51,Colombia,Malaysia,1905,com
52,Colombia,Malaysia,anonymouse,org
53,Colombia,Malaysia,hrcr,org
54,Colombia,Russia,jalb,de
55,Colombia,Russia,schwarzreport,org
56,Colombia,Russia,globalvoicesonline,org
57,Colombia,Russia,17ok,com
58,Colombia,Russia,bittornado,com
59,Colombia,Russia,1905,com
60,Colombia,Russia,anonymouse,org
61,Colombia,Russia,hrcr,org
62,Colombia,China,jalb,de
63,Colombia,China,schwarzreport,org
64,Colombia,China,globalvoicesonline,org
65,Colombia,China,17ok,com
