,Country 1,Country 2,Domain,Suffix
0,Denmark,United States of America,jalb,de
1,Denmark,United States of America,bittornado,com
2,Denmark,United States of America,schwarzreport,org
3,Denmark,United States of America,1905,com
4,Denmark,United States of America,anonymouse,org
5,Denmark,United States of America,hrcr,org
6,Denmark,United States of America,globalvoicesonline,org
7,Denmark,United States of America,17ok,com
8,Denmark,South Korea,jalb,de
9,Denmark,South Korea,bittornado,com
10,Denmark,South Korea,schwarzreport,org
11,Denmark,South Korea,1905,com
12,Denmark,South Korea,anonymouse,org
13,Denmark,South Korea,hrcr,org
14,Denmark,South Korea,globalvoicesonline,org
15,Denmark,South Korea,17ok,com
16,Denmark,Spain,jalb,de
17,Denmark,Spain,bittornado,com
18,Denmark,Spain,schwarzreport,org
19,Denmark,Spain,1905,com
20,Denmark,Spain,anonymouse,org
21,Denmark,Spain,hrcr,org
22,Denmark,Spain,globalvoicesonline,org
23,Denmark,Spain,17ok,com
24,Denmark,South Africa,jalb,de
25,Denmark,South Africa,bittornado,com
26,Denmark,South Africa,schwarzreport,org
27,Denmark,South Africa,1905,com
28,Denmark,South Africa,anonymouse,org
29,Denmark,South Africa,hrcr,org
30,Denmark,South Africa,globalvoicesonline,org
31,Denmark,South Africa,17ok,com
32,Denmark,Czech Republic,jalb,de
33,Denmark,Czech Republic,bittornado,com
34,Denmark,Czech Republic,1905,com
35,Denmark,Czech Republic,anonymouse,org
36,Denmark,Czech Republic,hrcr,org
37,Denmark,Czech Republic,globalvoicesonline,org
38,Denmark,Czech Republic,17ok,com
39,Denmark,Poland,jalb,de
40,Denmark,Poland,bittornado,com
41,Denmark,Poland,1905,com
42,Denmark,Poland,anonymouse,org
43,Denmark,Poland,hrcr,org
44,Denmark,Poland,globalvoicesonline,org
45,Denmark,Poland,17ok,com
46,Denmark,Malaysia,jalb,de
47,Denmark,Malaysia,bittornado,com
48,Denmark,Malaysia,schwarzreport,org
49,Denmark,Malaysia,1905,com
50,Denmark,Malaysia,anonymouse,org
51,Denmark,Malaysia,hrcr,org
52,Denmark,Malaysia,globalvoicesonline,org
53,Denmark,Malaysia,17ok,com
54,Denmark,Russia,jalb,de
55,Denmark,Russia,bittornado,com
56,Denmark,Russia,schwarzreport,org
57,Denmark,Russia,1905,com
58,Denmark,Russia,anonymouse,org
59,Denmark,Russia,hrcr,org
60,Denmark,Russia,globalvoicesonline,org
61,Denmark,Russia,17ok,com
62,Denmark,China,jalb,de
63,Denmark,China,bittornado,com
64,Denmark,China,schwarzreport,org
65,Denmark,China,1905,com
66,Denmark,China,anonymouse,org
67,Denmark,China,hrcr,org
68,Denmark,China,globalvoicesonline,org
69,Denmark,China,17ok,com
70,Denmark,Taiwan,jalb,de
71,Denmark,Taiwan,bittornado,com
72,Denmark,Taiwan,schwarzreport,org
73,Denmark,Taiwan,1905,com
74,Denmark,Taiwan,anonymouse,org
75,Denmark,Taiwan,hrcr,org
76,Denmark,Taiwan,globalvoicesonline,org
77,Denmark,Taiwan,17ok,com
78,Denmark,Bulgaria,jalb,de
79,Denmark,Bulgaria,bittornado,com
80,Denmark,Bulgaria,schwarzreport,org
81,Denmark,Bulgaria,1905,com
82,Denmark,Bulgaria,anonymouse,org
83,Denmark,Bulgaria,hrcr,org
84,Denmark,Bulgaria,globalvoicesonline,org
85,Denmark,Bulgaria,17ok,com
86,Denmark,Hong Kong,jalb,de
87,Denmark,Hong Kong,bittornado,com
88,Denmark,Hong Kong,schwarzreport,org
89,Denmark,Hong Kong,1905,com
90,Denmark,Hong Kong,anonymouse,org
91,Denmark,Hong Kong,hrcr,org
92,Denmark,Hong Kong,globalvoicesonline,org
93,Denmark,Hong Kong,17ok,com
94,Denmark,Peru,jalb,de
95,Denmark,Peru,bittornado,com
96,Denmark,Peru,schwarzreport,org
97,Denmark,Peru,1905,com
98,Denmark,Peru,anonymouse,org
99,Denmark,Peru,hrcr,org
