,Country 1,Country 2,Domain,Suffix
0,Indonesia,United States of America,jalb,de
1,Indonesia,United States of America,schwarzreport,org
2,Indonesia,United States of America,1905,com
3,Indonesia,United States of America,anonymouse,org
4,Indonesia,United States of America,hrcr,org
5,Indonesia,United States of America,globalvoicesonline,org
6,Indonesia,South Korea,jalb,de
7,Indonesia,South Korea,schwarzreport,org
8,Indonesia,South Korea,1905,com
9,Indonesia,South Korea,anonymouse,org
10,Indonesia,South Korea,hrcr,org
11,Indonesia,South Korea,globalvoicesonline,org
12,Indonesia,Spain,jalb,de
13,Indonesia,Spain,schwarzreport,org
14,Indonesia,Spain,1905,com
15,Indonesia,Spain,anonymouse,org
16,Indonesia,Spain,hrcr,org
17,Indonesia,Spain,globalvoicesonline,org
18,Indonesia,South Africa,jalb,de
19,Indonesia,South Africa,schwarzreport,org
20,Indonesia,South Africa,1905,com
21,Indonesia,South Africa,anonymouse,org
22,Indonesia,South Africa,hrcr,org
23,Indonesia,South Africa,globalvoicesonline,org
24,Indonesia,Czech Republic,jalb,de
25,Indonesia,Czech Republic,1905,com
26,Indonesia,Czech Republic,anonymouse,org
27,Indonesia,Czech Republic,hrcr,org
28,Indonesia,Czech Republic,globalvoicesonline,org
29,Indonesia,Poland,jalb,de
30,Indonesia,Poland,1905,com
31,Indonesia,Poland,anonymouse,org
32,Indonesia,Poland,hrcr,org
33,Indonesia,Poland,globalvoicesonline,org
34,Indonesia,Malaysia,jalb,de
35,Indonesia,Malaysia,schwarzreport,org
36,Indonesia,Malaysia,1905,com
37,Indonesia,Malaysia,anonymouse,org
38,Indonesia,Malaysia,hrcr,org
39,Indonesia,Malaysia,globalvoicesonline,org
40,Indonesia,Russia,jalb,de
41,Indonesia,Russia,schwarzreport,org
42,Indonesia,Russia,1905,com
43,Indonesia,Russia,anonymouse,org
44,Indonesia,Russia,hrcr,org
45,Indonesia,Russia,globalvoicesonline,org
46,Indonesia,China,jalb,de
47,Indonesia,China,schwarzreport,org
48,Indonesia,China,1905,com
49,Indonesia,China,anonymouse,org
50,Indonesia,China,hrcr,org
51,Indonesia,China,globalvoicesonline,org
52,Indonesia,Taiwan,jalb,de
53,Indonesia,Taiwan,schwarzreport,org
54,Indonesia,Taiwan,1905,com
55,Indonesia,Taiwan,anonymouse,org
56,Indonesia,Taiwan,hrcr,org
57,Indonesia,Taiwan,globalvoicesonline,org
58,Indonesia,Bulgaria,jalb,de
59,Indonesia,Bulgaria,schwarzreport,org
60,Indonesia,Bulgaria,1905,com
61,Indonesia,Bulgaria,anonymouse,org
62,Indonesia,Bulgaria,hrcr,org
63,Indonesia,Bulgaria,globalvoicesonline,org
64,Indonesia,Hong Kong,jalb,de
65,Indonesia,Hong Kong,schwarzreport,org
66,Indonesia,Hong Kong,1905,com
67,Indonesia,Hong Kong,anonymouse,org
68,Indonesia,Hong Kong,hrcr,org
69,Indonesia,Hong Kong,globalvoicesonline,org
70,Indonesia,Peru,jalb,de
71,Indonesia,Peru,schwarzreport,org
72,Indonesia,Peru,1905,com
73,Indonesia,Peru,anonymouse,org
74,Indonesia,Peru,hrcr,org
75,Indonesia,Peru,globalvoicesonline,org
76,Indonesia,Hungary,jalb,de
77,Indonesia,Hungary,schwarzreport,org
78,Indonesia,Hungary,1905,com
79,Indonesia,Hungary,anonymouse,org
80,Indonesia,Hungary,hrcr,org
81,Indonesia,Hungary,globalvoicesonline,org
82,Indonesia,Norway,jalb,de
83,Indonesia,Norway,schwarzreport,org
84,Indonesia,Norway,1905,com
85,Indonesia,Norway,anonymouse,org
86,Indonesia,Norway,hrcr,org
87,Indonesia,Norway,globalvoicesonline,org
88,Indonesia,Mexico,jalb,de
89,Indonesia,Mexico,schwarzreport,org
90,Indonesia,Mexico,1905,com
91,Indonesia,Mexico,anonymouse,org
92,Indonesia,Mexico,hrcr,org
93,Indonesia,Mexico,globalvoicesonline,org
94,Indonesia,Ukraine,jalb,de
95,Indonesia,Ukraine,schwarzreport,org
96,Indonesia,Ukraine,1905,com
97,Indonesia,Ukraine,anonymouse,org
98,Indonesia,Ukraine,hrcr,org
99,Indonesia,Ukraine,globalvoicesonline,org
100,Indonesia,Netherlands,jalb,de
101,Indonesia,Netherlands,schwarzreport,org
102,Indonesia,Netherlands,1905,com
103,Indonesia,Netherlands,anonymouse,org
104,Indonesia,Netherlands,hrcr,org
105,Indonesia,Netherlands,globalvoicesonline,org
106,Indonesia,Vietnam,jalb,de
107,Indonesia,Vietnam,schwarzreport,org
108,Indonesia,Vietnam,1905,com
109,Indonesia,Vietnam,anonymouse,org
110,Indonesia,Vietnam,hrcr,org
111,Indonesia,Vietnam,globalvoicesonline,org
112,Indonesia,Japan,jalb,de
113,Indonesia,Japan,schwarzreport,org
114,Indonesia,Japan,1905,com
115,Indonesia,Japan,anonymouse,org
116,Indonesia,Japan,hrcr,org
117,Indonesia,Japan,globalvoicesonline,org
118,Indonesia,Lithuania,jalb,de
119,Indonesia,Lithuania,schwarzreport,org
120,Indonesia,Lithuania,1905,com
121,Indonesia,Lithuania,anonymouse,org
122,Indonesia,Lithuania,hrcr,org
123,Indonesia,Lithuania,globalvoicesonline,org
124,Indonesia,Serbia,jalb,de
125,Indonesia,Serbia,schwarzreport,org
126,Indonesia,Serbia,1905,com
127,Indonesia,Serbia,anonymouse,org
128,Indonesia,Serbia,hrcr,org
129,Indonesia,Australia,jalb,de
130,Indonesia,Australia,schwarzreport,org
131,Indonesia,Australia,1905,com
132,Indonesia,Australia,anonymouse,org
133,Indonesia,Australia,hrcr,org
134,Indonesia,Australia,globalvoicesonline,org
