,Country 1,Country 2,Domain,Suffix
0,Kenya,United States of America,jalb,de
1,Kenya,United States of America,bittornado,com
2,Kenya,United States of America,schwarzreport,org
3,Kenya,United States of America,1905,com
4,Kenya,United States of America,anonymouse,org
5,Kenya,United States of America,hrcr,org
6,Kenya,United States of America,globalvoicesonline,org
7,Kenya,United States of America,17ok,com
8,Kenya,United States of America,realstreaming,net
9,Kenya,South Korea,jalb,de
10,Kenya,South Korea,bittornado,com
11,Kenya,South Korea,schwarzreport,org
12,Kenya,South Korea,1905,com
13,Kenya,South Korea,anonymouse,org
14,Kenya,South Korea,hrcr,org
15,Kenya,South Korea,globalvoicesonline,org
16,Kenya,South Korea,17ok,com
17,Kenya,South Korea,realstreaming,net
18,Kenya,Spain,jalb,de
19,Kenya,Spain,bittornado,com
20,Kenya,Spain,schwarzreport,org
21,Kenya,Spain,1905,com
22,Kenya,Spain,anonymouse,org
23,Kenya,Spain,hrcr,org
24,Kenya,Spain,globalvoicesonline,org
25,Kenya,Spain,17ok,com
26,Kenya,South Africa,jalb,de
27,Kenya,South Africa,bittornado,com
28,Kenya,South Africa,schwarzreport,org
29,Kenya,South Africa,1905,com
30,Kenya,South Africa,anonymouse,org
31,Kenya,South Africa,hrcr,org
32,Kenya,South Africa,globalvoicesonline,org
33,Kenya,South Africa,17ok,com
34,Kenya,South Africa,realstreaming,net
35,Kenya,Czech Republic,jalb,de
36,Kenya,Czech Republic,bittornado,com
37,Kenya,Czech Republic,1905,com
38,Kenya,Czech Republic,anonymouse,org
39,Kenya,Czech Republic,hrcr,org
40,Kenya,Czech Republic,globalvoicesonline,org
41,Kenya,Czech Republic,17ok,com
42,Kenya,Poland,jalb,de
43,Kenya,Poland,bittornado,com
44,Kenya,Poland,1905,com
45,Kenya,Poland,anonymouse,org
46,Kenya,Poland,hrcr,org
47,Kenya,Poland,globalvoicesonline,org
48,Kenya,Poland,17ok,com
49,Kenya,Malaysia,jalb,de
50,Kenya,Malaysia,bittornado,com
51,Kenya,Malaysia,schwarzreport,org
52,Kenya,Malaysia,1905,com
53,Kenya,Malaysia,anonymouse,org
54,Kenya,Malaysia,hrcr,org
55,Kenya,Malaysia,globalvoicesonline,org
56,Kenya,Malaysia,17ok,com
57,Kenya,Malaysia,realstreaming,net
58,Kenya,Russia,jalb,de
59,Kenya,Russia,bittornado,com
60,Kenya,Russia,schwarzreport,org
61,Kenya,Russia,1905,com
62,Kenya,Russia,anonymouse,org
63,Kenya,Russia,hrcr,org
64,Kenya,Russia,globalvoicesonline,org
65,Kenya,Russia,17ok,com
66,Kenya,China,jalb,de
67,Kenya,China,bittornado,com
68,Kenya,China,schwarzreport,org
69,Kenya,China,1905,com
70,Kenya,China,anonymouse,org
71,Kenya,China,hrcr,org
72,Kenya,China,globalvoicesonline,org
73,Kenya,China,17ok,com
74,Kenya,Taiwan,jalb,de
75,Kenya,Taiwan,bittornado,com
76,Kenya,Taiwan,schwarzreport,org
77,Kenya,Taiwan,1905,com
78,Kenya,Taiwan,anonymouse,org
79,Kenya,Taiwan,hrcr,org
80,Kenya,Taiwan,globalvoicesonline,org
81,Kenya,Taiwan,17ok,com
82,Kenya,Bulgaria,jalb,de
83,Kenya,Bulgaria,bittornado,com
84,Kenya,Bulgaria,schwarzreport,org
85,Kenya,Bulgaria,1905,com
86,Kenya,Bulgaria,anonymouse,org
87,Kenya,Bulgaria,hrcr,org
88,Kenya,Bulgaria,globalvoicesonline,org
89,Kenya,Bulgaria,17ok,com
90,Kenya,Hong Kong,jalb,de
91,Kenya,Hong Kong,bittornado,com
92,Kenya,Hong Kong,schwarzreport,org
93,Kenya,Hong Kong,1905,com
94,Kenya,Hong Kong,anonymouse,org
95,Kenya,Hong Kong,hrcr,org
96,Kenya,Hong Kong,globalvoicesonline,org
97,Kenya,Hong Kong,17ok,com
98,Kenya,Peru,jalb,de
99,Kenya,Peru,bittornado,com
100,Kenya,Peru,schwarzreport,org
101,Kenya,Peru,1905,com
102,Kenya,Peru,anonymouse,org
103,Kenya,Peru,hrcr,org
104,Kenya,Peru,globalvoicesonline,org
105,Kenya,Peru,17ok,com
106,Kenya,Hungary,jalb,de
107,Kenya,Hungary,bittornado,com
108,Kenya,Hungary,schwarzreport,org
109,Kenya,Hungary,1905,com
110,Kenya,Hungary,anonymouse,org
111,Kenya,Hungary,hrcr,org
112,Kenya,Hungary,globalvoicesonline,org
113,Kenya,Hungary,17ok,com
114,Kenya,Norway,jalb,de
115,Kenya,Norway,bittornado,com
116,Kenya,Norway,schwarzreport,org
117,Kenya,Norway,1905,com
118,Kenya,Norway,anonymouse,org
119,Kenya,Norway,hrcr,org
120,Kenya,Norway,globalvoicesonline,org
