,Country 1,Country 2,Domain,Suffix
0,Lithuania,United States of America,jalb,de
1,Lithuania,United States of America,bittornado,com
2,Lithuania,United States of America,schwarzreport,org
3,Lithuania,United States of America,1905,com
4,Lithuania,United States of America,anonymouse,org
5,Lithuania,United States of America,hrcr,org
6,Lithuania,United States of America,globalvoicesonline,org
7,Lithuania,United States of America,17ok,com
8,Lithuania,South Korea,jalb,de
9,Lithuania,South Korea,bittornado,com
10,Lithuania,South Korea,schwarzreport,org
11,Lithuania,South Korea,1905,com
12,Lithuania,South Korea,anonymouse,org
13,Lithuania,South Korea,hrcr,org
14,Lithuania,South Korea,globalvoicesonline,org
15,Lithuania,South Korea,17ok,com
16,Lithuania,Spain,jalb,de
17,Lithuania,Spain,bittornado,com
18,Lithuania,Spain,schwarzreport,org
19,Lithuania,Spain,1905,com
20,Lithuania,Spain,anonymouse,org
21,Lithuania,Spain,hrcr,org
22,Lithuania,Spain,globalvoicesonline,org
23,Lithuania,Spain,17ok,com
24,Lithuania,South Africa,jalb,de
25,Lithuania,South Africa,bittornado,com
26,Lithuania,South Africa,schwarzreport,org
27,Lithuania,South Africa,1905,com
28,Lithuania,South Africa,anonymouse,org
29,Lithuania,South Africa,hrcr,org
30,Lithuania,South Africa,globalvoicesonline,org
31,Lithuania,South Africa,17ok,com
32,Lithuania,Czech Republic,jalb,de
33,Lithuania,Czech Republic,bittornado,com
34,Lithuania,Czech Republic,1905,com
35,Lithuania,Czech Republic,anonymouse,org
36,Lithuania,Czech Republic,hrcr,org
37,Lithuania,Czech Republic,globalvoicesonline,org
38,Lithuania,Czech Republic,17ok,com
39,Lithuania,Poland,jalb,de
40,Lithuania,Poland,bittornado,com
41,Lithuania,Poland,1905,com
42,Lithuania,Poland,anonymouse,org
43,Lithuania,Poland,hrcr,org
44,Lithuania,Poland,globalvoicesonline,org
45,Lithuania,Poland,17ok,com
46,Lithuania,Malaysia,jalb,de
47,Lithuania,Malaysia,bittornado,com
48,Lithuania,Malaysia,schwarzreport,org
49,Lithuania,Malaysia,1905,com
50,Lithuania,Malaysia,anonymouse,org
51,Lithuania,Malaysia,hrcr,org
52,Lithuania,Malaysia,globalvoicesonline,org
53,Lithuania,Malaysia,17ok,com
54,Lithuania,Russia,jalb,de
55,Lithuania,Russia,bittornado,com
56,Lithuania,Russia,schwarzreport,org
57,Lithuania,Russia,1905,com
