,Country 1,Country 2,Domain,Suffix
0,Luxembourg,United States of America,17ok,com
1,Luxembourg,United States of America,jalb,de
2,Luxembourg,United States of America,bittornado,com
3,Luxembourg,United States of America,schwarzreport,org
4,Luxembourg,United States of America,1905,com
5,Luxembourg,United States of America,anonymouse,org
6,Luxembourg,United States of America,hrcr,org
7,Luxembourg,United States of America,globalvoicesonline,org
8,Luxembourg,South Korea,17ok,com
9,Luxembourg,South Korea,jalb,de
10,Luxembourg,South Korea,bittornado,com
11,Luxembourg,South Korea,schwarzreport,org
12,Luxembourg,South Korea,1905,com
13,Luxembourg,South Korea,anonymouse,org
14,Luxembourg,South Korea,hrcr,org
15,Luxembourg,South Korea,globalvoicesonline,org
16,Luxembourg,Spain,17ok,com
17,Luxembourg,Spain,jalb,de
18,Luxembourg,Spain,bittornado,com
19,Luxembourg,Spain,schwarzreport,org
20,Luxembourg,Spain,1905,com
21,Luxembourg,Spain,anonymouse,org
22,Luxembourg,Spain,hrcr,org
23,Luxembourg,Spain,globalvoicesonline,org
24,Luxembourg,South Africa,17ok,com
25,Luxembourg,South Africa,jalb,de
26,Luxembourg,South Africa,bittornado,com
27,Luxembourg,South Africa,schwarzreport,org
28,Luxembourg,South Africa,1905,com
29,Luxembourg,South Africa,anonymouse,org
30,Luxembourg,South Africa,hrcr,org
31,Luxembourg,South Africa,globalvoicesonline,org
32,Luxembourg,Czech Republic,17ok,com
33,Luxembourg,Czech Republic,jalb,de
34,Luxembourg,Czech Republic,bittornado,com
35,Luxembourg,Czech Republic,1905,com
36,Luxembourg,Czech Republic,anonymouse,org
37,Luxembourg,Czech Republic,hrcr,org
38,Luxembourg,Czech Republic,globalvoicesonline,org
39,Luxembourg,Poland,17ok,com
40,Luxembourg,Poland,jalb,de
41,Luxembourg,Poland,bittornado,com
42,Luxembourg,Poland,1905,com
43,Luxembourg,Poland,anonymouse,org
44,Luxembourg,Poland,hrcr,org
45,Luxembourg,Poland,globalvoicesonline,org
46,Luxembourg,Malaysia,17ok,com
47,Luxembourg,Malaysia,jalb,de
48,Luxembourg,Malaysia,bittornado,com
49,Luxembourg,Malaysia,schwarzreport,org
50,Luxembourg,Malaysia,1905,com
51,Luxembourg,Malaysia,anonymouse,org
52,Luxembourg,Malaysia,hrcr,org
53,Luxembourg,Malaysia,globalvoicesonline,org
54,Luxembourg,Russia,17ok,com
