,Country 1,Country 2,Domain,Suffix
0,Norway,United States of America,jalb,de
1,Norway,United States of America,bittornado,com
2,Norway,United States of America,schwarzreport,org
3,Norway,United States of America,1905,com
4,Norway,United States of America,anonymouse,org
5,Norway,United States of America,hrcr,org
6,Norway,United States of America,globalvoicesonline,org
7,Norway,United States of America,17ok,com
8,Norway,United States of America,realstreaming,net
9,Norway,South Korea,jalb,de
10,Norway,South Korea,bittornado,com
11,Norway,South Korea,schwarzreport,org
12,Norway,South Korea,1905,com
13,Norway,South Korea,anonymouse,org
14,Norway,South Korea,hrcr,org
15,Norway,South Korea,globalvoicesonline,org
16,Norway,South Korea,17ok,com
17,Norway,South Korea,realstreaming,net
18,Norway,Spain,jalb,de
19,Norway,Spain,bittornado,com
20,Norway,Spain,schwarzreport,org
21,Norway,Spain,1905,com
22,Norway,Spain,anonymouse,org
23,Norway,Spain,hrcr,org
24,Norway,Spain,globalvoicesonline,org
25,Norway,Spain,17ok,com
26,Norway,South Africa,jalb,de
27,Norway,South Africa,bittornado,com
28,Norway,South Africa,schwarzreport,org
29,Norway,South Africa,1905,com
30,Norway,South Africa,anonymouse,org
31,Norway,South Africa,hrcr,org
32,Norway,South Africa,globalvoicesonline,org
33,Norway,South Africa,17ok,com
34,Norway,South Africa,realstreaming,net
35,Norway,Czech Republic,jalb,de
36,Norway,Czech Republic,bittornado,com
37,Norway,Czech Republic,1905,com
38,Norway,Czech Republic,anonymouse,org
39,Norway,Czech Republic,hrcr,org
40,Norway,Czech Republic,globalvoicesonline,org
41,Norway,Czech Republic,17ok,com
42,Norway,Poland,jalb,de
43,Norway,Poland,bittornado,com
44,Norway,Poland,1905,com
45,Norway,Poland,anonymouse,org
46,Norway,Poland,hrcr,org
47,Norway,Poland,globalvoicesonline,org
48,Norway,Poland,17ok,com
49,Norway,Malaysia,jalb,de
50,Norway,Malaysia,bittornado,com
51,Norway,Malaysia,schwarzreport,org
52,Norway,Malaysia,1905,com
53,Norway,Malaysia,anonymouse,org
54,Norway,Malaysia,hrcr,org
55,Norway,Malaysia,globalvoicesonline,org
56,Norway,Malaysia,17ok,com
57,Norway,Malaysia,realstreaming,net
58,Norway,Russia,jalb,de
59,Norway,Russia,bittornado,com
60,Norway,Russia,schwarzreport,org
61,Norway,Russia,1905,com
62,Norway,Russia,anonymouse,org
63,Norway,Russia,hrcr,org
64,Norway,Russia,globalvoicesonline,org
65,Norway,Russia,17ok,com
66,Norway,China,jalb,de
67,Norway,China,bittornado,com
68,Norway,China,schwarzreport,org
69,Norway,China,1905,com
70,Norway,China,anonymouse,org
71,Norway,China,hrcr,org
72,Norway,China,globalvoicesonline,org
73,Norway,China,17ok,com
74,Norway,Taiwan,jalb,de
75,Norway,Taiwan,bittornado,com
76,Norway,Taiwan,schwarzreport,org
77,Norway,Taiwan,1905,com
78,Norway,Taiwan,anonymouse,org
79,Norway,Taiwan,hrcr,org
80,Norway,Taiwan,globalvoicesonline,org
81,Norway,Taiwan,17ok,com
82,Norway,Bulgaria,jalb,de
83,Norway,Bulgaria,bittornado,com
84,Norway,Bulgaria,schwarzreport,org
85,Norway,Bulgaria,1905,com
86,Norway,Bulgaria,anonymouse,org
87,Norway,Bulgaria,hrcr,org
88,Norway,Bulgaria,globalvoicesonline,org
89,Norway,Bulgaria,17ok,com
90,Norway,Hong Kong,jalb,de
91,Norway,Hong Kong,bittornado,com
92,Norway,Hong Kong,schwarzreport,org
93,Norway,Hong Kong,1905,com
94,Norway,Hong Kong,anonymouse,org
95,Norway,Hong Kong,hrcr,org
96,Norway,Hong Kong,globalvoicesonline,org
97,Norway,Hong Kong,17ok,com
98,Norway,Peru,jalb,de
99,Norway,Peru,bittornado,com
100,Norway,Peru,schwarzreport,org
101,Norway,Peru,1905,com
102,Norway,Peru,anonymouse,org
103,Norway,Peru,hrcr,org
104,Norway,Peru,globalvoicesonline,org
105,Norway,Peru,17ok,com
106,Norway,Hungary,jalb,de
107,Norway,Hungary,bittornado,com
108,Norway,Hungary,schwarzreport,org
109,Norway,Hungary,1905,com
110,Norway,Hungary,anonymouse,org
111,Norway,Hungary,hrcr,org
112,Norway,Hungary,globalvoicesonline,org
113,Norway,Hungary,17ok,com
114,Norway,Mexico,jalb,de
115,Norway,Mexico,bittornado,com
116,Norway,Mexico,schwarzreport,org
117,Norway,Mexico,1905,com
118,Norway,Mexico,anonymouse,org
119,Norway,Mexico,hrcr,org
120,Norway,Mexico,globalvoicesonline,org
121,Norway,Mexico,17ok,com
122,Norway,Mexico,realstreaming,net
123,Norway,Ukraine,jalb,de
124,Norway,Ukraine,bittornado,com
125,Norway,Ukraine,schwarzreport,org
126,Norway,Ukraine,1905,com
127,Norway,Ukraine,anonymouse,org
128,Norway,Ukraine,hrcr,org
129,Norway,Ukraine,globalvoicesonline,org
130,Norway,Ukraine,17ok,com
131,Norway,Netherlands,jalb,de
132,Norway,Netherlands,bittornado,com
