,Country 1,Country 2,Domain,Suffix
0,Portugal,United States of America,17ok,com
1,Portugal,United States of America,jalb,de
2,Portugal,United States of America,schwarzreport,org
3,Portugal,United States of America,1905,com
4,Portugal,United States of America,anonymouse,org
5,Portugal,United States of America,hrcr,org
6,Portugal,United States of America,bittornado,com
7,Portugal,United States of America,globalvoicesonline,org
8,Portugal,South Korea,17ok,com
9,Portugal,South Korea,jalb,de
10,Portugal,South Korea,schwarzreport,org
11,Portugal,South Korea,1905,com
12,Portugal,South Korea,anonymouse,org
13,Portugal,South Korea,hrcr,org
14,Portugal,South Korea,bittornado,com
15,Portugal,South Korea,globalvoicesonline,org
16,Portugal,Spain,17ok,com
17,Portugal,Spain,jalb,de
18,Portugal,Spain,schwarzreport,org
19,Portugal,Spain,1905,com
20,Portugal,Spain,anonymouse,org
21,Portugal,Spain,hrcr,org
22,Portugal,Spain,bittornado,com
23,Portugal,Spain,globalvoicesonline,org
24,Portugal,South Africa,17ok,com
25,Portugal,South Africa,jalb,de
26,Portugal,South Africa,schwarzreport,org
27,Portugal,South Africa,1905,com
28,Portugal,South Africa,anonymouse,org
29,Portugal,South Africa,hrcr,org
30,Portugal,South Africa,bittornado,com
31,Portugal,South Africa,globalvoicesonline,org
32,Portugal,Czech Republic,17ok,com
33,Portugal,Czech Republic,jalb,de
34,Portugal,Czech Republic,1905,com
35,Portugal,Czech Republic,anonymouse,org
36,Portugal,Czech Republic,hrcr,org
37,Portugal,Czech Republic,bittornado,com
38,Portugal,Czech Republic,globalvoicesonline,org
39,Portugal,Poland,17ok,com
40,Portugal,Poland,jalb,de
41,Portugal,Poland,1905,com
42,Portugal,Poland,anonymouse,org
43,Portugal,Poland,hrcr,org
44,Portugal,Poland,bittornado,com
45,Portugal,Poland,globalvoicesonline,org
46,Portugal,Malaysia,17ok,com
47,Portugal,Malaysia,jalb,de
48,Portugal,Malaysia,schwarzreport,org
49,Portugal,Malaysia,1905,com
50,Portugal,Malaysia,anonymouse,org
51,Portugal,Malaysia,hrcr,org
52,Portugal,Malaysia,bittornado,com
53,Portugal,Malaysia,globalvoicesonline,org
54,Portugal,Russia,17ok,com
55,Portugal,Russia,jalb,de
56,Portugal,Russia,schwarzreport,org
57,Portugal,Russia,1905,com
58,Portugal,Russia,anonymouse,org
59,Portugal,Russia,hrcr,org
60,Portugal,Russia,bittornado,com
61,Portugal,Russia,globalvoicesonline,org
62,Portugal,China,17ok,com
63,Portugal,China,jalb,de
64,Portugal,China,schwarzreport,org
65,Portugal,China,1905,com
66,Portugal,China,anonymouse,org
67,Portugal,China,hrcr,org
68,Portugal,China,bittornado,com
69,Portugal,China,globalvoicesonline,org
70,Portugal,Taiwan,17ok,com
71,Portugal,Taiwan,jalb,de
72,Portugal,Taiwan,schwarzreport,org
73,Portugal,Taiwan,1905,com
74,Portugal,Taiwan,anonymouse,org
75,Portugal,Taiwan,hrcr,org
76,Portugal,Taiwan,bittornado,com
77,Portugal,Taiwan,globalvoicesonline,org
78,Portugal,Bulgaria,17ok,com
79,Portugal,Bulgaria,jalb,de
80,Portugal,Bulgaria,schwarzreport,org
81,Portugal,Bulgaria,1905,com
82,Portugal,Bulgaria,anonymouse,org
83,Portugal,Bulgaria,hrcr,org
84,Portugal,Bulgaria,bittornado,com
85,Portugal,Bulgaria,globalvoicesonline,org
86,Portugal,Hong Kong,17ok,com
87,Portugal,Hong Kong,jalb,de
88,Portugal,Hong Kong,schwarzreport,org
89,Portugal,Hong Kong,1905,com
90,Portugal,Hong Kong,anonymouse,org
91,Portugal,Hong Kong,hrcr,org
92,Portugal,Hong Kong,bittornado,com
93,Portugal,Hong Kong,globalvoicesonline,org
94,Portugal,Peru,17ok,com
95,Portugal,Peru,jalb,de
96,Portugal,Peru,schwarzreport,org
97,Portugal,Peru,1905,com
98,Portugal,Peru,anonymouse,org
99,Portugal,Peru,hrcr,org
100,Portugal,Peru,bittornado,com
