,Country 1,Country 2,Domain,Suffix
0,Russia,United States of America,17ok,com
1,Russia,United States of America,jalb,de
2,Russia,United States of America,bittornado,com
3,Russia,United States of America,schwarzreport,org
4,Russia,United States of America,1905,com
5,Russia,United States of America,anonymouse,org
6,Russia,United States of America,hrcr,org
7,Russia,United States of America,globalvoicesonline,org
8,Russia,South Korea,17ok,com
9,Russia,South Korea,jalb,de
10,Russia,South Korea,bittornado,com
11,Russia,South Korea,schwarzreport,org
12,Russia,South Korea,1905,com
13,Russia,South Korea,anonymouse,org
14,Russia,South Korea,hrcr,org
15,Russia,South Korea,globalvoicesonline,org
16,Russia,Spain,17ok,com
17,Russia,Spain,jalb,de
18,Russia,Spain,bittornado,com
19,Russia,Spain,schwarzreport,org
20,Russia,Spain,1905,com
21,Russia,Spain,anonymouse,org
22,Russia,Spain,hrcr,org
23,Russia,Spain,globalvoicesonline,org
24,Russia,South Africa,17ok,com
25,Russia,South Africa,jalb,de
26,Russia,South Africa,bittornado,com
27,Russia,South Africa,schwarzreport,org
28,Russia,South Africa,1905,com
29,Russia,South Africa,anonymouse,org
30,Russia,South Africa,hrcr,org
31,Russia,South Africa,globalvoicesonline,org
32,Russia,Czech Republic,17ok,com
33,Russia,Czech Republic,jalb,de
34,Russia,Czech Republic,bittornado,com
35,Russia,Czech Republic,1905,com
36,Russia,Czech Republic,anonymouse,org
37,Russia,Czech Republic,hrcr,org
38,Russia,Czech Republic,globalvoicesonline,org
39,Russia,Poland,17ok,com
40,Russia,Poland,jalb,de
41,Russia,Poland,bittornado,com
42,Russia,Poland,1905,com
43,Russia,Poland,anonymouse,org
44,Russia,Poland,hrcr,org
45,Russia,Poland,globalvoicesonline,org
46,Russia,Malaysia,17ok,com
47,Russia,Malaysia,jalb,de
48,Russia,Malaysia,bittornado,com
49,Russia,Malaysia,schwarzreport,org
50,Russia,Malaysia,1905,com
51,Russia,Malaysia,anonymouse,org
52,Russia,Malaysia,hrcr,org
53,Russia,Malaysia,globalvoicesonline,org
54,Russia,China,17ok,com
55,Russia,China,jalb,de
56,Russia,China,bittornado,com
57,Russia,China,schwarzreport,org
58,Russia,China,1905,com
59,Russia,China,anonymouse,org
60,Russia,China,hrcr,org
61,Russia,China,globalvoicesonline,org
62,Russia,Taiwan,17ok,com
63,Russia,Taiwan,jalb,de
64,Russia,Taiwan,bittornado,com
65,Russia,Taiwan,schwarzreport,org
66,Russia,Taiwan,1905,com
67,Russia,Taiwan,anonymouse,org
68,Russia,Taiwan,hrcr,org
69,Russia,Taiwan,globalvoicesonline,org
70,Russia,Bulgaria,17ok,com
71,Russia,Bulgaria,jalb,de
72,Russia,Bulgaria,bittornado,com
73,Russia,Bulgaria,schwarzreport,org
74,Russia,Bulgaria,1905,com
75,Russia,Bulgaria,anonymouse,org
76,Russia,Bulgaria,hrcr,org
77,Russia,Bulgaria,globalvoicesonline,org
78,Russia,Hong Kong,17ok,com
79,Russia,Hong Kong,jalb,de
80,Russia,Hong Kong,bittornado,com
81,Russia,Hong Kong,schwarzreport,org
82,Russia,Hong Kong,1905,com
83,Russia,Hong Kong,anonymouse,org
84,Russia,Hong Kong,hrcr,org
85,Russia,Hong Kong,globalvoicesonline,org
86,Russia,Peru,17ok,com
87,Russia,Peru,jalb,de
88,Russia,Peru,bittornado,com
89,Russia,Peru,schwarzreport,org
90,Russia,Peru,1905,com
91,Russia,Peru,anonymouse,org
92,Russia,Peru,hrcr,org
93,Russia,Peru,globalvoicesonline,org
94,Russia,Hungary,17ok,com
95,Russia,Hungary,jalb,de
96,Russia,Hungary,bittornado,com
97,Russia,Hungary,schwarzreport,org
98,Russia,Hungary,1905,com
99,Russia,Hungary,anonymouse,org
100,Russia,Hungary,hrcr,org
101,Russia,Hungary,globalvoicesonline,org
102,Russia,Norway,17ok,com
103,Russia,Norway,jalb,de
104,Russia,Norway,bittornado,com
105,Russia,Norway,schwarzreport,org
106,Russia,Norway,1905,com
107,Russia,Norway,anonymouse,org
108,Russia,Norway,hrcr,org
109,Russia,Norway,globalvoicesonline,org
110,Russia,Mexico,17ok,com
111,Russia,Mexico,jalb,de
112,Russia,Mexico,bittornado,com
113,Russia,Mexico,schwarzreport,org
114,Russia,Mexico,1905,com
115,Russia,Mexico,anonymouse,org
116,Russia,Mexico,hrcr,org
117,Russia,Mexico,globalvoicesonline,org
118,Russia,Ukraine,17ok,com
119,Russia,Ukraine,jalb,de
120,Russia,Ukraine,bittornado,com
121,Russia,Ukraine,schwarzreport,org
122,Russia,Ukraine,1905,com
123,Russia,Ukraine,anonymouse,org
124,Russia,Ukraine,hrcr,org
125,Russia,Ukraine,globalvoicesonline,org
126,Russia,Netherlands,17ok,com
127,Russia,Netherlands,jalb,de
128,Russia,Netherlands,bittornado,com
129,Russia,Netherlands,schwarzreport,org
130,Russia,Netherlands,1905,com
131,Russia,Netherlands,anonymouse,org
132,Russia,Netherlands,hrcr,org
133,Russia,Netherlands,globalvoicesonline,org
134,Russia,Vietnam,17ok,com
135,Russia,Vietnam,jalb,de
136,Russia,Vietnam,bittornado,com
137,Russia,Vietnam,schwarzreport,org
138,Russia,Vietnam,1905,com
139,Russia,Vietnam,anonymouse,org
140,Russia,Vietnam,hrcr,org
141,Russia,Vietnam,globalvoicesonline,org
142,Russia,Japan,17ok,com
143,Russia,Japan,jalb,de
144,Russia,Japan,bittornado,com
145,Russia,Japan,schwarzreport,org
146,Russia,Japan,1905,com
147,Russia,Japan,anonymouse,org
148,Russia,Japan,hrcr,org
149,Russia,Japan,globalvoicesonline,org
150,Russia,Lithuania,17ok,com
151,Russia,Lithuania,jalb,de
152,Russia,Lithuania,bittornado,com
153,Russia,Lithuania,schwarzreport,org
154,Russia,Lithuania,1905,com
155,Russia,Lithuania,anonymouse,org
156,Russia,Lithuania,hrcr,org
157,Russia,Lithuania,globalvoicesonline,org
158,Russia,Serbia,17ok,com
159,Russia,Serbia,jalb,de
160,Russia,Serbia,bittornado,com
161,Russia,Serbia,schwarzreport,org
162,Russia,Serbia,1905,com
163,Russia,Serbia,anonymouse,org
164,Russia,Serbia,hrcr,org
165,Russia,Australia,17ok,com
166,Russia,Australia,jalb,de
167,Russia,Australia,bittornado,com
168,Russia,Australia,schwarzreport,org
169,Russia,Australia,1905,com
170,Russia,Australia,anonymouse,org
171,Russia,Australia,hrcr,org
172,Russia,Australia,globalvoicesonline,org
173,Russia,Kenya,17ok,com
174,Russia,Kenya,jalb,de
175,Russia,Kenya,bittornado,com
176,Russia,Kenya,schwarzreport,org
177,Russia,Kenya,1905,com
178,Russia,Kenya,anonymouse,org
179,Russia,Kenya,hrcr,org
180,Russia,Kenya,globalvoicesonline,org
181,Russia,Slovakia,17ok,com
182,Russia,Slovakia,jalb,de
183,Russia,Slovakia,bittornado,com
184,Russia,Slovakia,schwarzreport,org
185,Russia,Slovakia,1905,com
186,Russia,Slovakia,anonymouse,org
187,Russia,Slovakia,hrcr,org
188,Russia,Slovakia,globalvoicesonline,org
189,Russia,India,wordpress,com
190,Russia,India,17ok,com
191,Russia,India,jalb,de
192,Russia,India,bittornado,com
193,Russia,India,schwarzreport,org
194,Russia,India,1905,com
195,Russia,India,anonymouse,org
196,Russia,India,hrcr,org
197,Russia,India,globalvoicesonline,org
198,Russia,Chile,17ok,com
199,Russia,Chile,jalb,de
200,Russia,Chile,schwarzreport,org
201,Russia,Canada,17ok,com
202,Russia,Canada,jalb,de
203,Russia,Canada,schwarzreport,org
204,Russia,Canada,globalvoicesonline,org
205,Russia,Liechtenstein,17ok,com
206,Russia,Liechtenstein,jalb,de
207,Russia,Liechtenstein,bittornado,com
208,Russia,Liechtenstein,schwarzreport,org
209,Russia,Liechtenstein,1905,com
210,Russia,Liechtenstein,anonymouse,org
211,Russia,Liechtenstein,hrcr,org
212,Russia,Liechtenstein,globalvoicesonline,org
213,Russia,Singapore,17ok,com
214,Russia,Singapore,jalb,de
215,Russia,Singapore,bittornado,com
216,Russia,Singapore,schwarzreport,org
217,Russia,Singapore,1905,com
218,Russia,Singapore,anonymouse,org
219,Russia,Singapore,hrcr,org
220,Russia,Indonesia,jalb,de
221,Russia,Indonesia,schwarzreport,org
222,Russia,Indonesia,1905,com
223,Russia,Indonesia,anonymouse,org
224,Russia,Indonesia,hrcr,org
225,Russia,Indonesia,globalvoicesonline,org
226,Russia,New Zealand,17ok,com
227,Russia,New Zealand,jalb,de
228,Russia,New Zealand,bittornado,com
229,Russia,New Zealand,schwarzreport,org
230,Russia,New Zealand,1905,com
231,Russia,New Zealand,anonymouse,org
232,Russia,New Zealand,hrcr,org
233,Russia,New Zealand,globalvoicesonline,org
234,Russia,Luxembourg,17ok,com
235,Russia,Luxembourg,jalb,de
236,Russia,Luxembourg,bittornado,com
