,Country 1,Country 2,Domain,Suffix
0,Seychelles,United States of America,17ok,com
1,Seychelles,South Korea,17ok,com
2,Seychelles,Spain,17ok,com
3,Seychelles,South Africa,17ok,com
4,Seychelles,Czech Republic,17ok,com
5,Seychelles,Poland,17ok,com
6,Seychelles,Malaysia,17ok,com
7,Seychelles,Russia,17ok,com
8,Seychelles,China,17ok,com
9,Seychelles,Taiwan,17ok,com
10,Seychelles,Bulgaria,17ok,com
11,Seychelles,Hong Kong,17ok,com
12,Seychelles,Peru,17ok,com
13,Seychelles,Hungary,17ok,com
14,Seychelles,Norway,17ok,com
15,Seychelles,Mexico,17ok,com
16,Seychelles,Ukraine,17ok,com
17,Seychelles,Netherlands,17ok,com
18,Seychelles,Vietnam,17ok,com
19,Seychelles,Japan,17ok,com
20,Seychelles,Lithuania,17ok,com
21,Seychelles,Serbia,17ok,com
22,Seychelles,Australia,17ok,com
23,Seychelles,Kenya,17ok,com
24,Seychelles,Slovakia,17ok,com
25,Seychelles,India,17ok,com
26,Seychelles,Chile,17ok,com
27,Seychelles,Canada,17ok,com
28,Seychelles,Liechtenstein,17ok,com
29,Seychelles,Singapore,17ok,com
30,Seychelles,New Zealand,17ok,com
31,Seychelles,Luxembourg,17ok,com
32,Seychelles,Colombia,17ok,com
33,Seychelles,Turkey,17ok,com
34,Seychelles,Brazil,17ok,com
35,Seychelles,Sweden,17ok,com
36,Seychelles,Iceland,17ok,com
37,Seychelles,Finland,17ok,com
38,Seychelles,Portugal,17ok,com
39,Seychelles,Denmark,17ok,com
40,Seychelles,Israel,17ok,com
41,Seychelles,Moldova,17ok,com
