,Country 1,Country 2,Domain,Suffix
0,South Africa,United States of America,jalb,de
1,South Africa,United States of America,bittornado,com
2,South Africa,United States of America,schwarzreport,org
3,South Africa,United States of America,1905,com
4,South Africa,United States of America,anonymouse,org
5,South Africa,United States of America,17ok,com
6,South Africa,United States of America,hrcr,org
7,South Africa,United States of America,globalvoicesonline,org
8,South Africa,United States of America,realstreaming,net
9,South Africa,South Korea,jalb,de
10,South Africa,South Korea,bittornado,com
11,South Africa,South Korea,schwarzreport,org
12,South Africa,South Korea,1905,com
13,South Africa,South Korea,anonymouse,org
14,South Africa,South Korea,17ok,com
15,South Africa,South Korea,hrcr,org
16,South Africa,South Korea,globalvoicesonline,org
17,South Africa,South Korea,realstreaming,net
18,South Africa,Spain,jalb,de
19,South Africa,Spain,bittornado,com
20,South Africa,Spain,schwarzreport,org
21,South Africa,Spain,1905,com
22,South Africa,Spain,anonymouse,org
23,South Africa,Spain,17ok,com
24,South Africa,Spain,hrcr,org
25,South Africa,Spain,globalvoicesonline,org
26,South Africa,Czech Republic,jalb,de
27,South Africa,Czech Republic,bittornado,com
28,South Africa,Czech Republic,1905,com
29,South Africa,Czech Republic,anonymouse,org
30,South Africa,Czech Republic,17ok,com
31,South Africa,Czech Republic,hrcr,org
32,South Africa,Czech Republic,globalvoicesonline,org
33,South Africa,Poland,jalb,de
34,South Africa,Poland,bittornado,com
35,South Africa,Poland,1905,com
36,South Africa,Poland,anonymouse,org
37,South Africa,Poland,17ok,com
38,South Africa,Poland,hrcr,org
39,South Africa,Poland,globalvoicesonline,org
40,South Africa,Malaysia,jalb,de
41,South Africa,Malaysia,bittornado,com
42,South Africa,Malaysia,schwarzreport,org
43,South Africa,Malaysia,1905,com
44,South Africa,Malaysia,whitepages,com
45,South Africa,Malaysia,anonymouse,org
46,South Africa,Malaysia,17ok,com
47,South Africa,Malaysia,hrcr,org
48,South Africa,Malaysia,globalvoicesonline,org
49,South Africa,Malaysia,address,com
50,South Africa,Malaysia,realstreaming,net
51,South Africa,Russia,jalb,de
52,South Africa,Russia,bittornado,com
53,South Africa,Russia,schwarzreport,org
54,South Africa,Russia,1905,com
55,South Africa,Russia,anonymouse,org
56,South Africa,Russia,17ok,com
57,South Africa,Russia,hrcr,org
58,South Africa,Russia,globalvoicesonline,org
59,South Africa,China,jalb,de
60,South Africa,China,bittornado,com
61,South Africa,China,schwarzreport,org
62,South Africa,China,1905,com
63,South Africa,China,whitepages,com
64,South Africa,China,anonymouse,org
65,South Africa,China,17ok,com
66,South Africa,China,hrcr,org
67,South Africa,China,globalvoicesonline,org
68,South Africa,China,address,com
69,South Africa,Taiwan,jalb,de
70,South Africa,Taiwan,bittornado,com
