,Country 1,Country 2,Domain,Suffix
0,Taiwan,United States of America,schwarzreport,org
1,Taiwan,United States of America,17ok,com
2,Taiwan,United States of America,jalb,de
3,Taiwan,United States of America,bittornado,com
4,Taiwan,United States of America,1905,com
5,Taiwan,United States of America,anonymouse,org
6,Taiwan,United States of America,hrcr,org
7,Taiwan,United States of America,globalvoicesonline,org
8,Taiwan,South Korea,schwarzreport,org
9,Taiwan,South Korea,17ok,com
10,Taiwan,South Korea,jalb,de
11,Taiwan,South Korea,bittornado,com
12,Taiwan,South Korea,1905,com
13,Taiwan,South Korea,anonymouse,org
14,Taiwan,South Korea,hrcr,org
15,Taiwan,South Korea,globalvoicesonline,org
16,Taiwan,Spain,schwarzreport,org
17,Taiwan,Spain,17ok,com
18,Taiwan,Spain,jalb,de
19,Taiwan,Spain,bittornado,com
20,Taiwan,Spain,1905,com
21,Taiwan,Spain,anonymouse,org
22,Taiwan,Spain,hrcr,org
23,Taiwan,Spain,globalvoicesonline,org
24,Taiwan,South Africa,schwarzreport,org
25,Taiwan,South Africa,17ok,com
26,Taiwan,South Africa,jalb,de
27,Taiwan,South Africa,bittornado,com
28,Taiwan,South Africa,1905,com
29,Taiwan,South Africa,anonymouse,org
30,Taiwan,South Africa,hrcr,org
31,Taiwan,South Africa,globalvoicesonline,org
32,Taiwan,Czech Republic,17ok,com
33,Taiwan,Czech Republic,jalb,de
34,Taiwan,Czech Republic,bittornado,com
35,Taiwan,Czech Republic,1905,com
36,Taiwan,Czech Republic,anonymouse,org
37,Taiwan,Czech Republic,hrcr,org
38,Taiwan,Czech Republic,globalvoicesonline,org
39,Taiwan,Poland,17ok,com
40,Taiwan,Poland,jalb,de
41,Taiwan,Poland,bittornado,com
42,Taiwan,Poland,1905,com
43,Taiwan,Poland,anonymouse,org
44,Taiwan,Poland,hrcr,org
45,Taiwan,Poland,globalvoicesonline,org
46,Taiwan,Malaysia,schwarzreport,org
47,Taiwan,Malaysia,17ok,com
48,Taiwan,Malaysia,jalb,de
49,Taiwan,Malaysia,bittornado,com
50,Taiwan,Malaysia,1905,com
51,Taiwan,Malaysia,anonymouse,org
52,Taiwan,Malaysia,hrcr,org
53,Taiwan,Malaysia,globalvoicesonline,org
54,Taiwan,Russia,schwarzreport,org
55,Taiwan,Russia,17ok,com
56,Taiwan,Russia,jalb,de
57,Taiwan,Russia,bittornado,com
58,Taiwan,Russia,1905,com
59,Taiwan,Russia,anonymouse,org
60,Taiwan,Russia,hrcr,org
61,Taiwan,Russia,globalvoicesonline,org
62,Taiwan,China,schwarzreport,org
63,Taiwan,China,17ok,com
64,Taiwan,China,jalb,de
65,Taiwan,China,bittornado,com
66,Taiwan,China,1905,com
67,Taiwan,China,anonymouse,org
68,Taiwan,China,hrcr,org
69,Taiwan,China,globalvoicesonline,org
70,Taiwan,Bulgaria,schwarzreport,org
71,Taiwan,Bulgaria,17ok,com
72,Taiwan,Bulgaria,jalb,de
73,Taiwan,Bulgaria,bittornado,com
74,Taiwan,Bulgaria,1905,com
75,Taiwan,Bulgaria,anonymouse,org
76,Taiwan,Bulgaria,hrcr,org
77,Taiwan,Bulgaria,globalvoicesonline,org
78,Taiwan,Hong Kong,schwarzreport,org
79,Taiwan,Hong Kong,17ok,com
80,Taiwan,Hong Kong,jalb,de
81,Taiwan,Hong Kong,bittornado,com
82,Taiwan,Hong Kong,1905,com
83,Taiwan,Hong Kong,anonymouse,org
84,Taiwan,Hong Kong,hrcr,org
85,Taiwan,Hong Kong,globalvoicesonline,org
86,Taiwan,Peru,schwarzreport,org
87,Taiwan,Peru,17ok,com
88,Taiwan,Peru,jalb,de
89,Taiwan,Peru,bittornado,com
90,Taiwan,Peru,1905,com
91,Taiwan,Peru,anonymouse,org
92,Taiwan,Peru,hrcr,org
93,Taiwan,Peru,globalvoicesonline,org
94,Taiwan,Hungary,schwarzreport,org
95,Taiwan,Hungary,17ok,com
96,Taiwan,Hungary,jalb,de
97,Taiwan,Hungary,bittornado,com
98,Taiwan,Hungary,1905,com
99,Taiwan,Hungary,anonymouse,org
100,Taiwan,Hungary,hrcr,org
101,Taiwan,Hungary,globalvoicesonline,org
102,Taiwan,Norway,schwarzreport,org
103,Taiwan,Norway,17ok,com
104,Taiwan,Norway,jalb,de
105,Taiwan,Norway,bittornado,com
106,Taiwan,Norway,1905,com
107,Taiwan,Norway,anonymouse,org
108,Taiwan,Norway,hrcr,org
109,Taiwan,Norway,globalvoicesonline,org
110,Taiwan,Mexico,schwarzreport,org
111,Taiwan,Mexico,17ok,com
112,Taiwan,Mexico,jalb,de
113,Taiwan,Mexico,bittornado,com
114,Taiwan,Mexico,1905,com
115,Taiwan,Mexico,anonymouse,org
116,Taiwan,Mexico,hrcr,org
117,Taiwan,Mexico,globalvoicesonline,org
118,Taiwan,Ukraine,schwarzreport,org
119,Taiwan,Ukraine,17ok,com
120,Taiwan,Ukraine,jalb,de
121,Taiwan,Ukraine,bittornado,com
122,Taiwan,Ukraine,1905,com
