,Country 1,Country 2,Domain,Suffix
0,Ukraine,United States of America,globalvoicesonline,org
1,Ukraine,United States of America,17ok,com
2,Ukraine,United States of America,jalb,de
3,Ukraine,United States of America,bittornado,com
4,Ukraine,United States of America,schwarzreport,org
5,Ukraine,United States of America,1905,com
6,Ukraine,United States of America,anonymouse,org
7,Ukraine,United States of America,hrcr,org
8,Ukraine,South Korea,globalvoicesonline,org
9,Ukraine,South Korea,17ok,com
10,Ukraine,South Korea,jalb,de
11,Ukraine,South Korea,bittornado,com
12,Ukraine,South Korea,schwarzreport,org
13,Ukraine,South Korea,1905,com
14,Ukraine,South Korea,anonymouse,org
15,Ukraine,South Korea,hrcr,org
16,Ukraine,Spain,globalvoicesonline,org
17,Ukraine,Spain,17ok,com
18,Ukraine,Spain,jalb,de
19,Ukraine,Spain,bittornado,com
20,Ukraine,Spain,schwarzreport,org
21,Ukraine,Spain,1905,com
22,Ukraine,Spain,anonymouse,org
23,Ukraine,Spain,hrcr,org
24,Ukraine,South Africa,globalvoicesonline,org
25,Ukraine,South Africa,17ok,com
26,Ukraine,South Africa,jalb,de
27,Ukraine,South Africa,bittornado,com
28,Ukraine,South Africa,schwarzreport,org
29,Ukraine,South Africa,1905,com
30,Ukraine,South Africa,anonymouse,org
31,Ukraine,South Africa,hrcr,org
32,Ukraine,Czech Republic,globalvoicesonline,org
33,Ukraine,Czech Republic,17ok,com
34,Ukraine,Czech Republic,jalb,de
35,Ukraine,Czech Republic,bittornado,com
36,Ukraine,Czech Republic,1905,com
37,Ukraine,Czech Republic,anonymouse,org
38,Ukraine,Czech Republic,hrcr,org
39,Ukraine,Poland,globalvoicesonline,org
40,Ukraine,Poland,17ok,com
41,Ukraine,Poland,jalb,de
42,Ukraine,Poland,bittornado,com
43,Ukraine,Poland,1905,com
44,Ukraine,Poland,anonymouse,org
45,Ukraine,Poland,hrcr,org
46,Ukraine,Malaysia,globalvoicesonline,org
47,Ukraine,Malaysia,17ok,com
48,Ukraine,Malaysia,jalb,de
49,Ukraine,Malaysia,bittornado,com
50,Ukraine,Malaysia,schwarzreport,org
51,Ukraine,Malaysia,1905,com
52,Ukraine,Malaysia,anonymouse,org
53,Ukraine,Malaysia,hrcr,org
54,Ukraine,Russia,globalvoicesonline,org
55,Ukraine,Russia,17ok,com
56,Ukraine,Russia,jalb,de
57,Ukraine,Russia,bittornado,com
58,Ukraine,Russia,schwarzreport,org
59,Ukraine,Russia,1905,com
60,Ukraine,Russia,anonymouse,org
61,Ukraine,Russia,hrcr,org
62,Ukraine,China,globalvoicesonline,org
63,Ukraine,China,17ok,com
64,Ukraine,China,jalb,de
65,Ukraine,China,bittornado,com
66,Ukraine,China,schwarzreport,org
67,Ukraine,China,1905,com
68,Ukraine,China,anonymouse,org
69,Ukraine,China,hrcr,org
70,Ukraine,Taiwan,globalvoicesonline,org
71,Ukraine,Taiwan,17ok,com
72,Ukraine,Taiwan,jalb,de
73,Ukraine,Taiwan,bittornado,com
74,Ukraine,Taiwan,schwarzreport,org
75,Ukraine,Taiwan,1905,com
76,Ukraine,Taiwan,anonymouse,org
77,Ukraine,Taiwan,hrcr,org
78,Ukraine,Bulgaria,globalvoicesonline,org
79,Ukraine,Bulgaria,17ok,com
80,Ukraine,Bulgaria,jalb,de
81,Ukraine,Bulgaria,bittornado,com
