,URL,Blocking Quotient
0,www.a00.com,Inaccessible in every test
1,a0006.in2000.com,Inaccessible in every test
2,a1.sparklancer.com,Inaccessible in every test
3,a1234.uhome.net,Inaccessible in every test
4,a1234bc.uhome.net,Inaccessible in every test
5,a2s.idv.tw,Almost always inaccessible
6,a2z.fhl.net,Inaccessible in every test
7,www.a4c.at,Sometimes inaccessible
8,www.a4u.at,Almost always inaccessible
9,www.a86.com,Inaccessible in every test
10,a8713000.in2000.com,Almost always inaccessible
11,a888.bizland.com,Inaccessible in every test
12,aa999.e-chome.net,Inaccessible in every test
13,aaaaa.itgo.com,Inaccessible in every test
14,www.aaanet.org,Sometimes inaccessible
15,www.aaaw.org,Sometimes inaccessible
16,www.a-abcastrology.com,Inaccessible significantly more often than not
17,www.aabcdallas.org,Almost always inaccessible
18,www.aacsonline.org,Sometimes inaccessible
19,www.aadz12.ukgateway.net,Sometimes inaccessible
20,www.aaiil.org,Sometimes inaccessible
21,www.aandd.com.tw,Inaccessible in every test
22,www.aaperry.com,Sometimes inaccessible
23,aardvark.tce.rmit.edu.au,Often inaccessible
24,aaroncarter.uhome.net,Inaccessible in every test
25,www.aasta.com.tw,Inaccessible more often than not
26,ab03.in2000.com,Inaccessible in every test
27,www.ab69.com,Inaccessible in every test
28,abai.i.am,Inaccessible in every test
29,abandon.uhome.net,Inaccessible in every test
30,www.abbeywong.com,Almost always inaccessible
31,www.abbotlibrary.org,Inaccessible in every test
32,abc.com,Sometimes inaccessible
33,www.abc.com.au,Inaccessible more often than not
34,abc.go.com,Sometimes inaccessible
35,www.abc.gov.au,Inaccessible more often than not
36,abc.net.au,Inaccessible significantly more often than not
37,www.abc.net.au,Inaccessible significantly more often than not
38,www.abc-ca.org,Sometimes inaccessible
39,www.abc-chengqu.com,Inaccessible more often than not
40,www.abcdefghijklmnopqrstuvwxyz.com,Sometimes inaccessible
41,www.aberdeennews.com,Almost always inaccessible
42,www.aberdeenrfc.com,Sometimes inaccessible
43,aberoom.tripod.com,Inaccessible in every test
44,www.able.net-shop.com,Inaccessible in every test
45,ablook.com,Inaccessible in every test
46,www.ablook.com,Inaccessible in every test
47,www.abm.com.tw,Inaccessible more often than not
48,www.abmagazines.com,Inaccessible significantly more often than not
49,www.abo.fi,Sometimes inaccessible
50,abofx.coc.cc,Almost always inaccessible
51,www.aboriginal.tpc.gov.tw,Inaccessible significantly more often than not
52,about.fdyruu.org,Inaccessible in every test
53,about.reuters.com,Often inaccessible
54,www.aboutnt.com,Almost always inaccessible
55,www.aboutthe8thday.com,Often inaccessible
56,www.abqtrib.com,Sometimes inaccessible
57,abraham.fhl.net,Inaccessible in every test
58,www.abri.gov.tw,Inaccessible significantly more often than not
59,www.abstruse.com.tw,Inaccessible more often than not
